   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505628         8.90817     0.00796528        7.96528         6087.16       0.610994        610.994        0.140869      0.0843669        84.3669
  accept        0.500062          8.9858      0.0080935        8.09349         6097.44       0.615635        615.635       0.0227292      0.0851672        85.1672
       1        0.500175          9.0295     0.00820913        8.20913         6088.13       0.613255        613.254        0.274106      0.0852439        85.2438
       2        0.500165         9.01525     0.00811224        8.11224         6096.55        0.61385         613.85         0.76637      0.0854031         85.403
       3        0.499717         8.95264     0.00805978        8.05977         6090.41       0.617322        617.322        -2.42975      0.0849799        84.9798
       4        0.500286         9.20258      0.0083126        8.31259         6091.34       0.613583        613.583        -2.03321      0.0852116        85.2115
       5        0.499801         9.04931     0.00814184        8.14184         6089.32       0.613114        613.114        -1.16795      0.0850105        85.0105
       6        0.500179         8.87951     0.00798547        7.98547         6092.15       0.614983        614.982        0.551965      0.0846787        84.6787
       7        0.500168         8.89346     0.00803691        8.03691         6088.86       0.616234        616.234       -0.600279      0.0852624        85.2623
       8        0.499564         9.07544     0.00828862        8.28862         6094.24       0.615779        615.779       -0.291857      0.0847535        84.7534
   total        0.500178         9.01242     0.00575912        8.14462         6091.37       0.434668        614.713       -0.621467      0.0601556        85.0729

    mode      occupation             +/-         std dev
     -11         1.36887     0.000967814          1.3687
     -10         1.60724      0.00113694         1.60787
      -9         1.90192        0.001345         1.90212
      -8         2.28798      0.00161786           2.288
      -7         2.77887      0.00194472         2.75025
      -6          3.4103      0.00238165         3.36816
      -5          4.2136      0.00291944         4.12871
      -4          5.2284       0.0035687         5.04691
      -3         6.45148      0.00434604         6.14623
      -2         7.70382       0.0050474          7.1381
      -1          8.6614      0.00556858         7.87516
       0         9.01242      0.00575912         8.14462
       1          8.5956      0.00553391         7.82612
       2         7.60667      0.00499628         7.06581
       3         6.40289      0.00430618         6.08986
       4         5.22845       0.0035703         5.04916
       5         4.22323      0.00292795         4.14075
       6         3.39293      0.00237355          3.3567
       7          2.7704      0.00195024         2.75806
       8         2.27686      0.00160296         2.26693
       9         1.89934       0.0013432         1.89956
      10         1.60868      0.00113938         1.61133
      11         1.36864      0.00096777         1.36863
