   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506214         7.93819     0.00723671        7.23671         6785.99       0.700772        700.771        0.556131       0.090973        90.9729
    init        0.506031         7.78466     0.00706907        7.06906         6791.46       0.699202        699.202         -0.1779      0.0906834        90.6834
  accept        0.500422         7.73466      0.0070078         7.0078         6810.57       0.706888        706.887      -0.0727292      0.0919865        91.9865
       1        0.499984         7.72672     0.00708514        7.08514         6807.25       0.703615        703.615        0.962347      0.0915727        91.5726
       2        0.500014         8.02073      0.0073136        7.31359          6794.2       0.703556        703.556       -0.605061      0.0914985        91.4984
       3        0.500071         7.79222     0.00706481        7.06481         6797.36        0.70433         704.33       -0.937774       0.091569         91.569
       4        0.499755         7.84495     0.00718724        7.18724         6792.11       0.702532        702.532       -0.270499       0.091785         91.785
       5        0.499874         7.73542     0.00711151        7.11151         6793.04       0.701883        701.882        0.288392      0.0914661         91.466
       6        0.499975         7.78347     0.00707836        7.07835         6794.54       0.703216        703.216        0.978125      0.0917084        91.7084
       7        0.500365         7.80671     0.00721435        7.21435          6790.8        0.69925         699.25         1.15737      0.0908856        90.8855
       8        0.500083         7.79492     0.00710328        7.10328         6798.53       0.703348        703.347      -0.0287648      0.0909786        90.9786
   total        0.500227         7.81387     0.00505379        7.14714         6795.99       0.496885        702.702        0.190213      0.0646568        91.4385

    mode      occupation             +/-         std dev
     -12         1.35935     0.000962509         1.36119
     -11         1.57739       0.0011119         1.57246
     -10         1.82118      0.00128765         1.82102
      -9         2.13586      0.00150373         2.12659
      -8         2.51463      0.00176435         2.49516
      -7         2.99809      0.00210004         2.96991
      -6          3.6069      0.00249641         3.53046
      -5          4.3141      0.00297785         4.21131
      -4          5.1335      0.00350429         4.95581
      -3         6.08539      0.00405169         5.72995
      -2          6.9329      0.00457262         6.46666
      -1         7.61701      0.00495981         7.01422
       0         7.81387      0.00505379         7.14714
       1         7.59641      0.00492277         6.96184
       2         6.90848      0.00454205         6.42343
       3         6.05327       0.0040485         5.72544
       4         5.18148      0.00351555         4.97173
       5         4.31735      0.00298093         4.21567
       6         3.61189      0.00250667         3.54497
       7         3.00116       0.0020958         2.96391
       8         2.52682      0.00177469         2.50979
       9         2.13612      0.00150843         2.13324
      10         1.81867      0.00128336         1.81495
      11         1.57326      0.00110572         1.56373
      12         1.36493     0.000965063          1.3648
