   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506532         6.86122     0.00627539        6.27538         7552.82       0.796535        796.535         1.20428      0.0968147        96.8147
    init        0.506403         6.88382     0.00627885        6.27885          7545.1       0.789269        789.269        0.703154      0.0973234        97.3233
    init        0.506546         6.96706     0.00638372        6.38371         7546.41       0.790722        790.722        0.677186      0.0967902        96.7901
    init        0.506559          7.0319      0.0064118         6.4118         7533.02       0.788245        788.245        -1.37138      0.0969918        96.9917
    init        0.506907         6.82441     0.00629739        6.29739         7558.02       0.791416        791.416        -0.36356      0.0975996        97.5995
    init        0.506684         6.86036     0.00626021        6.26021         7546.25       0.792939        792.938        0.446696      0.0974489        97.4489
    init        0.506454         6.87878     0.00634136        6.34136         7550.06       0.792417        792.416       -0.859311      0.0970499        97.0498
    init        0.506638         6.85292     0.00627201        6.27201         7557.34       0.792666        792.665        0.112106      0.0978891        97.8891
  accept        0.500097         6.79242     0.00634782        6.34782         7549.06       0.789334        789.333        0.582543      0.0979711         97.971
  accept        0.500038         6.88455     0.00636372        6.36372          7548.8       0.799133        799.133       -0.150208      0.0968479        96.8478
       1        0.499713         6.87994      0.0062983         6.2983         7546.39       0.789721        789.721      -0.0771481      0.0970178        97.0178
       2        0.500271         6.96329     0.00635085        6.35085         7552.66       0.792851        792.851       -0.469331      0.0974632        97.4632
       3          0.4998         7.02379     0.00645579        6.45578         7547.24       0.795124        795.124       -0.406266      0.0970522        97.0521
       4        0.500405         6.86648     0.00632109        6.32109         7541.71       0.797677        797.676        0.408968       0.096824        96.8239
       5        0.499768         6.88221     0.00624636        6.24635         7552.46        0.78989         789.89       -0.351848      0.0973816        97.3816
       6        0.499759         6.98792     0.00644257        6.44257         7548.01       0.798367        798.366      -0.0191961      0.0969065        96.9064
       7        0.500342         6.91309     0.00642872        6.42872         7553.72       0.791267        791.266        -0.52846      0.0974089        97.4089
       8        0.499571         6.88096     0.00628752        6.28752         7546.68       0.792853        792.852       0.0842166        0.09751        97.5099
   total        0.500051         6.92504     0.00449379        6.35517          7548.5       0.561148        793.583       -0.160895      0.0687219        97.1874

    mode      occupation             +/-         std dev
     -13         1.35169     0.000955402         1.35114
     -12         1.52991      0.00107927         1.52631
     -11         1.75329      0.00123512         1.74673
     -10         2.00976      0.00140947         1.99329
      -9         2.32005      0.00162683         2.30068
      -8         2.70445      0.00188559         2.66663
      -7         3.15012      0.00218925         3.09607
      -6         3.70986      0.00256616         3.62909
      -5         4.31171      0.00294608         4.16638
      -4         4.96458      0.00335927         4.75072
      -3         5.69068      0.00379018         5.36012
      -2         6.29855      0.00416188         5.88578
      -1          6.7641      0.00442337         6.25559
       0         6.92504      0.00449379         6.35517
       1         6.70747      0.00438151         6.19639
       2         6.31593      0.00417226         5.90046
       3          5.6829      0.00378758         5.35645
       4         4.99487      0.00338432         4.78615
       5         4.32275      0.00295719         4.18209
       6         3.68679       0.0025555         3.61402
       7         3.14858      0.00218815         3.09451
       8         2.70304      0.00189195         2.67562
       9         2.32493      0.00163338         2.30995
      10         2.00428      0.00140894         1.99254
      11         1.74759      0.00122737         1.73577
      12         1.52888      0.00107958         1.52676
      13         1.34818     0.000950013         1.34352
