   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506906         6.24251     0.00576058        5.76057         8357.06       0.887799        887.798         0.34389       0.102863        102.863
    init        0.506651         6.08922     0.00567784        5.67783         8357.77        0.88867         888.67       -0.874793       0.103774        103.774
    init        0.506504         6.15376     0.00574834        5.74834         8349.38       0.885864        885.864       -0.774772       0.102977        102.977
    init         0.50682         6.23272     0.00581312        5.81311         8349.96        0.88232        882.319       -0.424573       0.102918        102.918
    init        0.506778          6.1344     0.00568837        5.68837         8353.97        0.88376         883.76        0.787175       0.102925        102.925
    init         0.50674         6.16533     0.00571343        5.71343         8356.95       0.893278        893.278        0.564588       0.102858        102.858
    init        0.506503         6.19702     0.00571764        5.71763         8337.67       0.884733        884.733         0.47677       0.102812        102.812
    init        0.507046         6.18795     0.00569952        5.69952         8342.36       0.886926        886.925       -0.556812       0.103329        103.329
    init        0.506659         6.12068     0.00566129        5.66129         8339.57       0.881787        881.786        0.354655       0.102926        102.926
    init        0.506824         6.19527     0.00573045        5.73045         8353.63       0.886509        886.509        0.186622       0.102765        102.765
  accept        0.499565         6.21036     0.00570989        5.70989         8346.56        0.89032         890.32        0.905114       0.103272        103.272
  accept        0.500587         6.11398      0.0056794         5.6794         8352.08       0.885799        885.798        0.673588       0.103477        103.477
  accept        0.499331         6.14205     0.00570756        5.70756         8353.56       0.888187        888.186        0.656755       0.103174        103.174
  accept        0.500517         6.19421     0.00575616        5.75616         8358.07       0.887045        887.045        -1.05833       0.103208        103.208
  accept         0.49989         6.14246     0.00570058        5.70057         8344.12       0.884254        884.253       -0.897119       0.103117        103.117
  accept        0.500022         6.20859     0.00579051        5.79051         8361.66       0.891017        891.017       0.0549209       0.103416        103.415
       1        0.499923         6.14753     0.00572754        5.72754         8352.33       0.886855        886.854        0.610518       0.102957        102.957
       2        0.500211         6.16801     0.00569837        5.69837         8353.67       0.887523        887.522         1.06581       0.103523        103.523
       3        0.499939         6.20856      0.0056922        5.69219         8351.18       0.889505        889.504      -0.0323279        0.10275         102.75
       4        0.499775         6.20515     0.00570775        5.70774         8357.42       0.890868        890.867        0.191075       0.103409        103.409
       5        0.500139         6.15405     0.00568332        5.68332         8352.16       0.883736        883.736        0.288723       0.103234        103.234
       6        0.500302         6.13947     0.00572028        5.72028         8367.48       0.888374        888.374        -0.71517       0.103093        103.093
       7        0.499882         6.18994     0.00567315        5.67315         8354.44       0.890322        890.321      -0.0761666       0.101929        101.929
       8        0.499614         6.10186     0.00564062        5.64061         8353.23       0.888661         888.66       -0.619107       0.102791        102.791
   total        0.499769         6.16468     0.00402598        5.69359         8355.22       0.628082        888.242       0.0924381      0.0728182         102.98

    mode      occupation             +/-         std dev
     -14         1.32944     0.000935937         1.32361
     -13         1.49741      0.00105478         1.49168
     -12         1.67929      0.00118173         1.67122
     -11         1.90301      0.00133452         1.88729
     -10         2.16012      0.00151166         2.13781
      -9         2.46185      0.00171994         2.43236
      -8         2.82756      0.00196589         2.78018
      -7         3.24689       0.0022531         3.18636
      -6         3.70534      0.00254929         3.60524
      -5         4.22534      0.00288351          4.0779
      -4         4.75861      0.00321075         4.54068
      -3         5.31218      0.00355524         5.02787
      -2         5.74583      0.00380641         5.38308
      -1         6.07024      0.00399467         5.64932
       0         6.16468      0.00402598         5.69359
       1         6.03845      0.00398082         5.62973
       2         5.77422      0.00381774         5.39909
       3         5.26397      0.00351567          4.9719
       4         4.78774      0.00323956         4.58143
       5         4.21732      0.00288078         4.07403
       6         3.71968      0.00255541         3.61389
       7         3.23139      0.00223332         3.15839
       8          2.8336      0.00196862         2.78405
       9         2.47879      0.00172841         2.44435
      10         2.16455      0.00151482         2.14228
      11          1.9002      0.00133366         1.88608
      12          1.6837      0.00119112          1.6845
      13         1.49113      0.00105198         1.48773
      14         1.32749     0.000936029         1.32374
