   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506839         5.55242     0.00523078        5.23078         9224.27       0.991713        991.712         0.10398       0.109208        109.208
  accept          0.4999         5.58948      0.0052594         5.2594         9214.06       0.983883        983.882        0.411807       0.108706        108.706
  accept        0.500032         5.54414     0.00513534        5.13534         9216.62       0.984611         984.61        0.665387       0.108664        108.664
  accept        0.500006         5.62039     0.00521285        5.21284         9210.28       0.988392        988.391       -0.617908       0.108104        108.104
  accept        0.500016         5.59008     0.00519728        5.19728         9218.96       0.982328        982.327         1.93792       0.109354        109.354
  accept        0.499872         5.47736     0.00511388        5.11388         9213.53       0.984443        984.442        0.974483       0.109138        109.138
  accept        0.500219         5.52738     0.00512574        5.12574         9221.95         0.9854        985.399     -0.00554834       0.108727        108.727
       1        0.499741         5.56279      0.0052235         5.2235         9216.09       0.984019        984.019       -0.793681       0.109383        109.383
       2        0.500141          5.5632     0.00518925        5.18925         9211.53       0.991247        991.246        -1.58651       0.109267        109.267
       3        0.499806         5.54522     0.00520307        5.20306         9224.24       0.992361        992.361       -0.707799       0.109009        109.009
       4        0.499937         5.55227     0.00517452        5.17452         9205.81       0.988839        988.839       -0.797699        0.10878        108.779
       5        0.500194         5.56955     0.00522635        5.22635         9219.43       0.994204        994.204        -2.09387       0.108779        108.779
       6        0.499667         5.66871     0.00531839        5.31839         9190.73       0.986215        986.214       -0.716102       0.107509        107.509
       7        0.500111         5.48843     0.00514373        5.14373         9220.53       0.981731        981.731       -0.309563       0.108587        108.587
       8        0.500238          5.6331     0.00524315        5.24315         9208.81       0.991284        991.284         1.20224       0.108953        108.953
   total        0.499721         5.57319     0.00368818        5.21588         9212.03       0.699232        988.863       -0.721322      0.0769151        108.774

    mode      occupation             +/-         std dev
     -15         1.30642     0.000919193         1.29993
     -14         1.44971      0.00102124         1.44426
     -13         1.62069      0.00114161         1.61448
     -12         1.80822       0.0012718          1.7986
     -11         2.03399      0.00142607         2.01677
     -10         2.28777      0.00159439          2.2548
      -9         2.57455      0.00179372          2.5367
      -8         2.90334      0.00201505         2.84972
      -7         3.26262       0.0022514         3.18396
      -6         3.66565      0.00250765         3.54635
      -5          4.1104      0.00280239         3.96318
      -4         4.57232      0.00309185         4.37253
      -3         4.93542      0.00328526         4.64606
      -2         5.26243      0.00349611         4.94424
      -1          5.4699      0.00362976         5.13325
       0         5.57319      0.00368818         5.21588
       1         5.48296       0.0036275         5.13005
       2         5.26765      0.00349722         4.94582
       3         4.92669      0.00329585         4.66103
       4         4.54556      0.00306998          4.3416
       5         4.07737      0.00276976         3.91704
       6         3.65718      0.00250781         3.54657
       7         3.26059      0.00224959          3.1814
       8         2.88662      0.00199709          2.8243
       9         2.57179      0.00179306         2.53577
      10         2.28689      0.00159462         2.25514
      11         2.01812      0.00141188          1.9967
      12         1.80811        0.001269         1.79464
      13         1.61438      0.00113528         1.60552
      14          1.4558      0.00102447         1.44881
      15         1.30366     0.000919214         1.29996
