   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506855         5.05482     0.00471927        4.71927         10126.2        1.08374        1083.74        -1.62747       0.114172        114.172
    init        0.506414         5.06579      0.0047916         4.7916         10117.4        1.08966        1089.66      -0.0406302       0.113904        113.904
  accept        0.500198         5.06997     0.00475631        4.75631         10129.1        1.08388        1083.87         0.67324       0.114323        114.323
  accept        0.499569         5.10786      0.0048066         4.8066         10116.1        1.08376        1083.76      -0.0620828        0.11392         113.92
       1        0.500259         5.04666     0.00469464        4.69464         10117.3        1.09281        1092.81       -0.717537       0.113777        113.777
       2        0.499763         5.07052        0.00478           4.78         10117.3        1.08105        1081.05        0.346082       0.114487        114.487
       3        0.500518         5.04215     0.00474817        4.74817         10132.5        1.08676        1086.76       -0.829101       0.114393        114.393
       4        0.499475         5.06608      0.0047509         4.7509         10134.2           1.09           1090        -1.06326       0.114493        114.493
       5        0.500383         5.07791      0.0047525         4.7525         10125.4        1.08698        1086.98      -0.0407119       0.114313        114.313
       6        0.499993         5.04802     0.00479289        4.79289         10128.8        1.09275        1092.75          -0.397       0.114397        114.397
       7        0.499701         5.08388     0.00478964        4.78964         10124.5        1.08984        1089.83        0.689442       0.114419        114.419
       8        0.500443         5.09869     0.00478671        4.78671         10133.8        1.08702        1087.02        0.743642       0.114668        114.668
   total        0.500213         5.06639     0.00336776        4.76274         10126.6       0.769588        1088.36       -0.181894       0.080884        114.387

    mode      occupation             +/-         std dev
     -16         1.28416     0.000904152         1.27866
     -15         1.41369     0.000994542         1.40649
     -14         1.55738      0.00109364         1.54664
     -13         1.72248      0.00120685         1.70675
     -12         1.91217       0.0013412         1.89674
     -11         2.12948      0.00148783         2.10411
     -10         2.36359      0.00164518         2.32663
      -9         2.63556      0.00182789         2.58503
      -8         2.92663       0.0020206         2.85756
      -7         3.25072      0.00224364         3.17299
      -6         3.59559       0.0024549         3.47176
      -5         3.94177      0.00267071         3.77695
      -4         4.29888      0.00289703         4.09701
      -3         4.60923      0.00309179         4.37244
      -2         4.84299      0.00322393         4.55932
      -1         5.02122      0.00332862         4.70738
       0         5.06639      0.00336776         4.76274
       1         4.99915      0.00331844         4.69298
       2         4.81726       0.0032138           4.545
       3         4.59164      0.00307091         4.34292
       4         4.27665      0.00288197         4.07571
       5         3.94861      0.00268209         3.79305
       6         3.60148      0.00246504         3.48609
       7         3.25054      0.00223655         3.16295
       8         2.93524      0.00202306         2.86104
       9         2.63298      0.00182033         2.57433
      10         2.35935      0.00164396         2.32491
      11         2.12476      0.00148315         2.09749
      12         1.91166      0.00133758         1.89162
      13         1.71958       0.0012064         1.70611
      14         1.56054      0.00109787         1.55263
      15         1.41289     0.000996198         1.40884
      16         1.28573     0.000904552         1.27923
