   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50619         4.62372      0.0043291         4.3291         11102.5        1.19458        1194.58       -0.697529        0.12002         120.02
    init        0.506077          4.6766     0.00444729        4.44729         11097.8        1.19742        1197.42        -0.63629       0.120025        120.024
    init        0.506262         4.61554     0.00433181        4.33181         11098.9        1.19099        1190.99        0.216503       0.119415        119.415
  accept        0.499613         4.63718     0.00439207        4.39207         11091.8        1.19803        1198.03         1.24874       0.119231         119.23
  accept         0.50047          4.7142     0.00444047        4.44047         11081.4        1.20039        1200.39         0.61038       0.119392        119.392
  accept        0.499852          4.6191     0.00435387        4.35387         11090.2        1.19464        1194.64        0.382225       0.119249        119.249
  accept        0.500369         4.68952     0.00443836        4.43836         11101.7         1.2042         1204.2        -0.28216       0.119374        119.374
       1        0.499466         4.64228     0.00438257        4.38256           11082        1.19507        1195.07        0.444939        0.11925         119.25
       2        0.500122         4.64969     0.00440457        4.40457         11086.3        1.20194        1201.94      -0.0436466         0.1195          119.5
       3        0.499952         4.58842     0.00433436        4.33435         11099.7        1.19698        1196.98        0.760386       0.119325        119.324
       4        0.500274         4.65716     0.00441476        4.41475         11095.1        1.19531        1195.31         1.15145       0.119562        119.562
       5        0.499624         4.66761     0.00436714        4.36714         11090.8         1.1982         1198.2         1.14957       0.119756        119.756
       6        0.499971         4.69344     0.00440243        4.40243         11089.8        1.19322        1193.22        -1.66958       0.119457        119.457
       7        0.500396         4.62813     0.00432124        4.32124         11091.3        1.19533        1195.33       -0.221442       0.120013        120.012
       8        0.499427         4.61452     0.00431378        4.31378           11096        1.19261         1192.6        0.701178       0.120122        120.122
   total        0.500089           4.642     0.00308758        4.36649         11091.8       0.845661        1195.94        0.308849      0.0845771         119.61

    mode      occupation             +/-         std dev
     -17         1.25846     0.000886578         1.25381
     -16         1.37329      0.00096446         1.36395
     -15         1.50287      0.00105421         1.49088
     -14         1.64998      0.00115667         1.63578
     -13         1.81002      0.00126601          1.7904
     -12         1.99318      0.00138903         1.96439
     -11         2.19078       0.0015241         2.15541
     -10         2.41087      0.00167736         2.37214
      -9         2.66602      0.00184402         2.60783
      -8          2.9122      0.00200446         2.83474
      -7         3.20776      0.00220041         3.11185
      -6         3.48466       0.0023764         3.36073
      -5         3.77767      0.00256664         3.62977
      -4         4.04216      0.00272325         3.85125
      -3         4.26497      0.00286786         4.05577
      -2         4.51463      0.00301671         4.26628
      -1         4.61097      0.00307988         4.35561
       0           4.642      0.00308758         4.36649
       1         4.60434      0.00306975         4.34128
       2          4.4845      0.00299901         4.24124
       3         4.27704      0.00287341         4.06362
       4         4.04865      0.00272838         3.85851
       5         3.78912      0.00256733         3.63075
       6         3.49012      0.00238418         3.37174
       7         3.20519      0.00219403         3.10282
       8         2.92293      0.00200809         2.83986
       9         2.66399      0.00183921         2.60103
      10         2.41409      0.00167898         2.37444
      11         2.19177       0.0015279         2.16078
      12         1.99454      0.00139408         1.97153
      13         1.80809      0.00126552         1.78971
      14         1.64936      0.00115323         1.63092
      15         1.50448      0.00105762          1.4957
      16         1.37727     0.000969408         1.37095
      17         1.26202     0.000887148         1.25462
