   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505676         4.23551     0.00402134        4.02134         12118.8        1.30447        1304.47        0.347449       0.124622        124.622
  accept        0.499922         4.34267     0.00410957        4.10957         12114.4        1.30919        1309.19        0.278906       0.125315        125.315
       1        0.500089         4.25275     0.00401941        4.01941         12124.9        1.30422        1304.22         1.01594       0.125018        125.018
       2        0.500386         4.30083     0.00405437        4.05437         12132.2        1.31068        1310.68        0.400819       0.125483        125.483
       3        0.499795         4.23789     0.00399361        3.99361         12129.2        1.31036        1310.36       -0.087451       0.124842        124.842
       4        0.499736         4.32201     0.00411561        4.11561         12116.7        1.30729        1307.29     -0.00769279       0.124665        124.665
       5        0.500335         4.30456     0.00406733        4.06733         12121.1         1.3131         1313.1      -0.0572406       0.124621        124.621
       6        0.499891         4.28754     0.00402845        4.02845         12134.4        1.30046        1300.46        0.542314       0.124245        124.245
       7        0.499753         4.30389     0.00407299        4.07298         12115.6        1.30857        1308.57       -0.325288       0.124318        124.318
       8        0.500229         4.21968     0.00400196        4.00196         12143.1        1.30782        1307.82       -0.223871       0.125121        125.121
   total        0.499507         4.27915     0.00286058        4.04547           12127       0.924794        1307.86        0.170547      0.0882323        124.779

    mode      occupation             +/-         std dev
     -18         1.23757     0.000870599         1.23121
     -17         1.34018     0.000942125         1.33237
     -16         1.45991      0.00102385         1.44794
     -15         1.58313      0.00110986         1.56958
     -14         1.72444      0.00120659         1.70638
     -13          1.8791      0.00131403         1.85832
     -12         2.05082      0.00142972         2.02193
     -11          2.2424      0.00155784         2.20312
     -10         2.43694      0.00167804          2.3731
      -9          2.6671      0.00183849         2.60002
      -8         2.88452      0.00198341         2.80496
      -7         3.12518      0.00214049         3.02711
      -6         3.36993      0.00229327         3.24317
      -5         3.59101      0.00243203         3.43941
      -4         3.83935       0.0025883         3.66041
      -3         4.01681      0.00269725         3.81449
      -2         4.16909      0.00279179         3.94819
      -1         4.24606      0.00284181         4.01893
       0         4.27915      0.00286058         4.04547
       1         4.24901       0.0028433         4.02103
       2         4.14653      0.00277749         3.92796
       3         4.01142      0.00269333         3.80894
       4          3.8211      0.00258168         3.65104
       5         3.60078      0.00244206         3.45359
       6         3.37962       0.0023059         3.26104
       7         3.12857      0.00214389         3.03192
       8         2.89376       0.0019887         2.81244
       9         2.66662      0.00184156         2.60436
      10         2.43884      0.00169296         2.39421
      11         2.23205      0.00155083          2.1932
      12         2.05404      0.00143239          2.0257
      13         1.88192      0.00131609         1.86124
      14         1.72699       0.0012044         1.70327
      15         1.58875      0.00111388         1.57526
      16         1.45394      0.00101967         1.44203
      17         1.34438     0.000943363         1.33412
      18         1.23898     0.000870664          1.2313
