   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505264         3.96334     0.00376313        3.76313         13206.6        1.42458        1424.58        -0.61256       0.129885        129.885
    init        0.505202         3.98202     0.00376393        3.76392         13209.1        1.41445        1414.45        -1.50759       0.130199        130.199
    init        0.505445         4.00703     0.00379029        3.79029         13207.7        1.42145        1421.45      -0.0272607       0.129724        129.724
  accept        0.499741         3.93183     0.00371838        3.71838         13197.4        1.41816        1418.16          1.4732       0.130052        130.052
  accept        0.500346         3.97747     0.00377054        3.77054         13206.6        1.41889        1418.89         1.26348        0.13017        130.169
  accept        0.499855         4.00184      0.0037914         3.7914         13209.3        1.42467        1424.67        0.519008       0.129982        129.982
  accept        0.499693         3.97419     0.00374006        3.74005         13216.8        1.41931        1419.31        0.837325       0.130234        130.234
  accept        0.500092         3.98644     0.00376329        3.76329         13206.2        1.41594        1415.94       -0.147027       0.130417        130.417
       1         0.49996         3.98872     0.00376372        3.76372         13194.9        1.41291        1412.91       -0.310351        0.13015         130.15
       2        0.499891         4.01129     0.00379255        3.79254           13204         1.4204         1420.4        0.451931       0.130437        130.437
       3         0.50027         3.99104     0.00380253        3.80253         13209.5        1.41688        1416.88        0.837987       0.129738        129.738
       4        0.500282         3.94402     0.00370895        3.70895         13213.7        1.42226        1422.26        0.154233        0.13022         130.22
       5        0.499449         3.95497     0.00373837        3.73837         13209.5        1.42231         1422.3       -0.364905        0.12983         129.83
       6        0.500499         3.97167     0.00377504        3.77504         13212.1        1.41979        1419.79        0.578352       0.130065        130.065
       7         0.49942         3.91723     0.00373903        3.73903         13198.8        1.42204        1422.04       -0.389817       0.130439        130.439
       8        0.500029         3.94463     0.00376919        3.76919         13198.5        1.42497        1424.97       0.0967567       0.129909        129.909
   total        0.500097         3.96531     0.00265985         3.7616         13205.3        1.00424         1420.2       0.0874388      0.0920168        130.131

    mode      occupation             +/-         std dev
     -19          1.2111     0.000851561         1.20429
     -18         1.30497     0.000916404         1.29599
     -17         1.41041     0.000988973         1.39862
     -16         1.51882      0.00106386         1.50453
     -15           1.653      0.00115796          1.6376
     -14         1.78262      0.00124418         1.75953
     -13         1.93033      0.00134753         1.90569
     -12          2.0884      0.00145283         2.05461
     -11         2.25699      0.00156593         2.21456
     -10         2.44146      0.00168301         2.38013
      -9         2.64256        0.001818         2.57104
      -8         2.83834       0.0019462         2.75234
      -7         3.04081      0.00208286         2.94561
      -6         3.24358       0.0022086         3.12343
      -5         3.43941      0.00232817         3.29253
      -4         3.61491      0.00244243         3.45412
      -3         3.77317      0.00253673         3.58747
      -2         3.86984       0.0025951         3.67003
      -1         3.94111      0.00264227         3.73674
       0         3.96531      0.00265985          3.7616
       1         3.93976      0.00263949          3.7328
       2         3.89668      0.00261611         3.69974
       3         3.76669      0.00253053         3.57871
       4          3.6154      0.00244103         3.45214
       5         3.43785      0.00232735         3.29137
       6         3.24922      0.00221147         3.12749
       7         3.05393      0.00209012         2.95587
       8          2.8411       0.0019506         2.75857
       9         2.63925      0.00181733          2.5701
      10         2.43464      0.00168119         2.37756
      11         2.26276      0.00157052         2.22105
      12         2.09028      0.00145308         2.05496
      13         1.93127      0.00134557         1.90292
      14         1.77658      0.00124071         1.75463
      15         1.64764      0.00115683         1.63601
      16         1.52278      0.00106696          1.5089
      17         1.40947      0.00098864         1.39815
      18          1.3038     0.000915652         1.29493
      19         1.21379     0.000851321         1.20395
