   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.504393         3.71316     0.00355754        3.55753         14334.1        1.54444        1544.44    -0.000877171       0.134741        134.741
  accept        0.500033         3.67709     0.00350936        3.50936         14346.7        1.53829        1538.29       -0.737835       0.134919        134.918
  accept        0.500468         3.72395     0.00354117        3.54117         14348.9        1.54042        1540.42       -0.394288       0.134925        134.925
       1        0.499666         3.68294     0.00350246        3.50246         14343.8        1.54965        1549.65        0.828914       0.134174        134.174
       2        0.500291         3.66643     0.00348197        3.48197         14352.5        1.53343        1533.43        0.254377       0.135415        135.415
       3         0.50009         3.70921     0.00350925        3.50925         14351.5        1.54644        1546.44       0.0934077       0.135149        135.149
       4        0.499762          3.6714     0.00347582        3.47582         14345.2        1.54119        1541.19        0.496297        0.13512         135.12
       5        0.500001         3.71762      0.0035434         3.5434           14341        1.53988        1539.88       -0.501035       0.135045        135.045
       6        0.500017         3.75422     0.00356928        3.56928         14344.3        1.55421        1554.21         1.04674        0.13504         135.04
       7        0.499555          3.7392     0.00356002        3.56002         14342.6        1.54005        1540.04        0.527804       0.134877        134.877
       8        0.500575         3.73309     0.00353627        3.53627         14348.6        1.54124        1541.24        0.759973       0.134785        134.785
   total        0.500211         3.70912     0.00249146        3.52346         14346.1        1.09141        1543.48         0.46446      0.0954514        134.989

    mode      occupation             +/-         std dev
     -20         1.18959     0.000835612         1.18173
     -19         1.27285     0.000892881         1.26272
     -18         1.36704     0.000960483         1.35833
     -17         1.46956      0.00103065         1.45756
     -16         1.57099      0.00109983         1.55539
     -15         1.68833      0.00117843         1.66655
     -14         1.81878      0.00126593         1.79029
     -13         1.96276      0.00136404         1.92904
     -12         2.09964      0.00145773         2.06153
     -11         2.26746      0.00156919         2.21918
     -10         2.43067      0.00167668         2.37119
      -9          2.6049      0.00179133         2.53333
      -8         2.77472      0.00190063         2.68789
      -7          2.9427      0.00200618         2.83717
      -6         3.10562      0.00211277         2.98791
      -5         3.27679      0.00222031            3.14
      -4           3.422      0.00230828          3.2644
      -3         3.54538      0.00238602         3.37435
      -2         3.62659      0.00243615         3.44523
      -1         3.67184      0.00246641         3.48803
       0         3.70912      0.00249146         3.52346
       1          3.6898      0.00247682         3.50275
       2         3.63312      0.00244482          3.4575
       3         3.54433      0.00238922         3.37886
       4         3.43285      0.00232286         3.28502
       5         3.27003      0.00222215         3.14259
       6         3.12457      0.00212618         3.00687
       7         2.95207      0.00201744         2.85309
       8          2.7791      0.00190773         2.69794
       9         2.60428      0.00179188         2.53409
      10         2.43305      0.00167608         2.37033
      11         2.26325      0.00156392         2.21171
      12           2.104      0.00146006         2.06484
      13          1.9574      0.00135958         1.92273
      14         1.82376      0.00126882         1.79439
      15         1.69712      0.00118525         1.67619
      16         1.57564      0.00110202         1.55849
      17         1.47064      0.00102893         1.45513
      18         1.36824     0.000959321         1.35668
      19         1.27104     0.000892707         1.26248
      20         1.18841     0.000836099         1.18242
