   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503865         3.51843      0.0033317         3.3317         15557.2        1.66097        1660.97        0.609946       0.140367        140.367
    init        0.504407         3.42685     0.00325899        3.25899         15566.4        1.66742        1667.42       0.0648796       0.140652        140.652
  accept         0.49967         3.45614     0.00329458        3.29458         15553.3        1.66326        1663.26       -0.214518       0.139545        139.545
       1        0.499689         3.44851     0.00329482        3.29482         15530.6        1.66759        1667.59          1.0526       0.139447        139.447
       2        0.500303         3.48479     0.00329472        3.29472         15554.5        1.66102        1661.02       0.0284001       0.140144        140.144
       3        0.499828         3.47676     0.00331067        3.31067         15528.6        1.66975        1669.75         -1.3587       0.139464        139.464
       4        0.500384         3.48733     0.00332929        3.32929         15572.3        1.67913        1679.13        0.418256       0.140364        140.364
       5        0.499804         3.45333     0.00327207        3.27206         15566.9        1.67193        1671.93         1.16858       0.140119        140.119
       6        0.499896         3.50192     0.00332709        3.32709         15532.1        1.66584        1665.84       -0.199649       0.139775        139.774
       7        0.500363         3.46989     0.00329418        3.29418         15548.3        1.66862        1668.62       0.0818161       0.139849        139.849
       8        0.500091         3.48645     0.00333191        3.33191           15568        1.66924        1669.24         1.60587       0.140672        140.672
   total             0.5         3.47602     0.00233902        3.30787         15550.5        1.18036        1669.28         0.36259      0.0989916        139.995

    mode      occupation             +/-         std dev
     -21         1.16576     0.000819273         1.15863
     -20         1.24016       0.0008711         1.23192
     -19         1.32342     0.000929095         1.31394
     -18           1.418     0.000993183         1.40457
     -17         1.51383      0.00105828         1.49664
     -16         1.61801      0.00112973         1.59768
     -15         1.73281      0.00120744         1.70758
     -14         1.84775      0.00128376         1.81551
     -13         1.97622      0.00136764         1.93414
     -12         2.11057       0.0014634         2.06956
     -11          2.2484      0.00154844         2.18983
     -10         2.39628      0.00165093         2.33477
      -9         2.55806      0.00175115          2.4765
      -8          2.6966      0.00184894          2.6148
      -7         2.84019      0.00193793         2.74065
      -6          2.9893      0.00203138          2.8728
      -5         3.12386      0.00211604         2.99253
      -4         3.24478      0.00220081         3.11242
      -3         3.33491      0.00225342         3.18682
      -2         3.41911      0.00230468         3.25931
      -1         3.45309      0.00232548         3.28872
       0         3.47602      0.00233902         3.30787
       1         3.44719       0.0023168         3.27645
       2          3.4089        0.002299         3.25127
       3         3.34101       0.0022543         3.18806
       4           3.233      0.00218599         3.09145
       5         3.12729      0.00211869         2.99628
       6         3.00003      0.00204546         2.89271
       7         2.85405      0.00194644         2.75268
       8         2.70201      0.00185075         2.61736
       9          2.5526      0.00175311         2.47927
      10         2.39859      0.00165295         2.33762
      11         2.24833      0.00155593         2.20042
      12         2.11045      0.00145934         2.06382
      13          1.9797      0.00137426          1.9435
      14         1.85243      0.00128598         1.81865
      15         1.72894      0.00120376         1.70237
      16         1.61826      0.00113082         1.59921
      17         1.51478      0.00105959         1.49849
      18         1.42071     0.000996755         1.40962
      19         1.32656     0.000930739         1.31626
      20         1.24201     0.000871067         1.23187
      21         1.16604     0.000819734         1.15928
