   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503313         3.32977     0.00317463        3.17463         16810.5        1.79448        1794.48       -0.123907       0.144409        144.409
  accept        0.500289         3.23523      0.0030984         3.0984         16810.7        1.79562        1795.62      -0.0762474       0.144686        144.686
       1        0.499524         3.26847     0.00313085        3.13084         16801.7         1.8094         1809.4         1.20349       0.144596        144.596
       2        0.500385         3.26611     0.00312644        3.12644         16798.3        1.79412        1794.12        0.176175       0.144424        144.424
       3        0.499716         3.27455     0.00313306        3.13306         16801.5        1.79302        1793.02       -0.844369        0.14417         144.17
       4        0.500268         3.26807     0.00310578        3.10578         16806.1        1.79173        1791.73       -0.144645       0.144619        144.619
       5        0.500321         3.26895     0.00311907        3.11907         16842.3        1.79556        1795.56       -0.544885       0.144593        144.592
       6        0.500027         3.25988       0.003118          3.118         16824.8        1.79774        1797.74        0.454479       0.144242        144.242
       7        0.499672         3.21105     0.00305066        3.05066         16808.4        1.79557        1795.57        0.553397       0.144696        144.696
       8         0.49994         3.28033     0.00310995        3.10995           16820        1.79169        1791.69        0.605111       0.144332        144.332
   total        0.499979         3.26188     0.00220066         3.1122           16813        1.27029        1796.46        0.136646       0.102167        144.486

    mode      occupation             +/-         std dev
     -22          1.1425     0.000801757         1.13386
     -21         1.21154     0.000849237           1.201
     -20         1.28499     0.000901035         1.27426
     -19         1.36968     0.000958659         1.35575
     -18          1.4555      0.00101663         1.43773
     -17         1.54978       0.0010821         1.53032
     -16         1.64853      0.00114862          1.6244
     -15         1.75333      0.00121972         1.72494
     -14         1.86554      0.00129655          1.8336
     -13         1.98188      0.00137594         1.94587
     -12         2.10983      0.00145532         2.05813
     -11         2.22997      0.00153824          2.1754
     -10         2.36285      0.00162121         2.29274
      -9         2.48705      0.00170914         2.41709
      -8         2.62932      0.00179654         2.54069
      -7         2.75234        0.001881         2.66013
      -6         2.85986      0.00194819         2.75516
      -5         2.98183      0.00202348         2.86164
      -4           3.076      0.00208948         2.95498
      -3         3.15105      0.00213026         3.01264
      -2         3.20733       0.0021618         3.05725
      -1         3.24974       0.0021943          3.1032
       0         3.26188      0.00220066          3.1122
       1         3.24918      0.00219026         3.09749
       2         3.21973       0.0021706         3.06969
       3         3.15139      0.00213137         3.01421
       4         3.07129      0.00207695         2.93726
       5         2.98244      0.00202774         2.86765
       6         2.86597      0.00195235         2.76104
       7         2.74961      0.00187894         2.65723
       8         2.62784      0.00179585         2.53972
       9          2.4947      0.00171047         2.41897
      10         2.36194      0.00162467         2.29763
      11         2.22122      0.00153398         2.16938
      12         2.10819      0.00145867         2.06288
      13         1.98253      0.00137212         1.94047
      14          1.8684      0.00129565         1.83233
      15         1.75513      0.00121981         1.72507
      16         1.65051      0.00114878         1.62461
      17         1.54689      0.00107944         1.52655
      18          1.4578      0.00101582         1.43658
      19         1.37196     0.000960219         1.35795
      20         1.29008     0.000905066         1.27996
      21         1.20983     0.000848235         1.19959
      22         1.14106     0.000801414         1.13337
