   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502852          3.1036     0.00296712        2.96712         18113.7        1.92979        1929.79      -0.0959599       0.148743        148.743
  accept        0.500075         3.10493     0.00299028        2.99028         18144.5        1.92504        1925.04       -0.755107       0.149834        149.834
  accept        0.499545         3.07861     0.00296251        2.96251         18118.7        1.92749        1927.49        0.342845        0.14915         149.15
       1        0.500456         3.08335     0.00294825        2.94825         18135.3        1.93243        1932.43       -0.613276       0.149137        149.137
       2        0.500189         3.04879     0.00292418        2.92417         18161.7        1.92133        1921.33       -0.813057       0.149731        149.731
       3        0.499878         3.06696     0.00294547        2.94547         18146.9        1.92117        1921.17      -0.0636858       0.149221        149.221
       4        0.500234         3.05087     0.00293161        2.93161         18175.2        1.91893        1918.93        -1.40597       0.148947        148.947
       5        0.499666         3.05474     0.00290793        2.90793         18143.8        1.92027        1920.27       0.0685409       0.150018        150.018
       6        0.499904         3.03125     0.00288662        2.88662         18153.7        1.92078        1920.78        0.101616       0.149058        149.058
       7        0.500551         3.07945     0.00294335        2.94335         18161.7        1.91528        1915.28        0.440567       0.149461        149.461
       8        0.500185         3.05453     0.00293845        2.93845         18175.5        1.92159        1921.59        0.196419       0.149911        149.911
   total        0.500272         3.05831     0.00207064        2.92833         18156.4        1.35873        1921.54         -0.2841       0.105657        149.422

    mode      occupation             +/-         std dev
     -23         1.12079     0.000785999         1.11157
     -22         1.18718     0.000832259         1.17699
     -21          1.2556      0.00087958         1.24391
     -20         1.32503     0.000928012         1.31241
     -19         1.40904      0.00098621         1.39471
     -18         1.48986      0.00103878         1.46906
     -17         1.57784      0.00109893         1.55412
     -16          1.6719      0.00116413         1.64633
     -15         1.76548      0.00122429         1.73141
     -14         1.87307      0.00129827         1.83604
     -13         1.97862      0.00136811          1.9348
     -12         2.09545      0.00144672         2.04598
     -11         2.20274      0.00151721         2.14567
     -10         2.31733      0.00159243         2.25204
      -9         2.43388      0.00166396          2.3532
      -8         2.54736      0.00174083         2.46191
      -7         2.65563      0.00181232         2.56301
      -6         2.73983      0.00186589         2.63876
      -5         2.85088      0.00193932         2.74261
      -4         2.92216      0.00198106         2.80165
      -3         2.98025       0.0020199         2.85657
      -2         3.02407      0.00204384         2.89043
      -1         3.05362      0.00206397         2.91889
       0         3.05831      0.00207064         2.92833
       1         3.06548      0.00206308         2.91764
       2         3.03374      0.00204601         2.89349
       3         2.97608      0.00201497          2.8496
       4         2.91959      0.00197793         2.79722
       5         2.84674      0.00192943         2.72863
       6          2.7581      0.00187723         2.65481
       7         2.63801      0.00179786         2.54256
       8          2.5445      0.00173733         2.45696
       9         2.42987      0.00166447         2.35392
      10         2.30611      0.00158258         2.23811
      11         2.20375      0.00151864         2.14769
      12         2.08849      0.00143857         2.03444
      13         1.97858      0.00136875         1.93571
      14         1.87228       0.0012949         1.83127
      15         1.76881      0.00122462         1.73187
      16         1.67182      0.00116104         1.64196
      17         1.57706      0.00109849          1.5535
      18         1.48711      0.00103952         1.47011
      19         1.40696     0.000982881            1.39
      20         1.32637     0.000927994         1.31238
      21         1.25591     0.000879551         1.24387
      22          1.1863     0.000832142         1.17683
      23         1.12241     0.000787601         1.11384
