   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502378         2.89941     0.00276014        2.76014         19555.4        2.04895        2048.95        0.142805       0.154397        154.396
  accept        0.500024         2.92874     0.00280208        2.80208           19528        2.06262        2062.61       0.0824747       0.154373        154.373
       1         0.49998         2.92132     0.00281321        2.81321         19544.8        2.05779        2057.79       -0.301903       0.154345        154.345
       2        0.500025         2.93667     0.00282231        2.82231         19531.9        2.05969        2059.69       -0.472121       0.153753        153.753
       3        0.499687         2.92763     0.00277886        2.77886         19517.6        2.05597        2055.97        0.805865       0.153938        153.938
       4        0.500269         2.92574     0.00276791        2.76791         19531.9        2.05247        2052.47     -0.00277029       0.153394        153.394
       5        0.499778         2.89891     0.00276177        2.76177         19542.2        2.04956        2049.56       -0.303568       0.154309        154.309
       6        0.500138         2.93303     0.00283138        2.83138           19555        2.06652        2066.52       0.0518112       0.154129        154.129
       7        0.499906         2.91157     0.00278656        2.78655         19527.9        2.05777        2057.77        0.359344        0.15452         154.52
       8        0.499797         2.88561     0.00274875        2.74875         19534.1        2.05442        2054.42       -0.367164       0.153637        153.637
   total        0.500184         2.91778     0.00197248        2.78951         19535.4        1.45424        2056.61       0.0266977       0.108867        153.961

    mode      occupation             +/-         std dev
     -24         1.09571     0.000769021         1.08756
     -23         1.15833     0.000811873         1.14816
     -22         1.22323     0.000856585         1.21139
     -21         1.28511     0.000897745          1.2696
     -20         1.35792     0.000947338         1.33974
     -19         1.42798     0.000995728         1.40817
     -18         1.51217      0.00105245         1.48839
     -17         1.59717      0.00111066         1.57071
     -16         1.68284      0.00116979         1.65434
     -15         1.77406      0.00123004         1.73954
     -14         1.86262      0.00129098         1.82572
     -13         1.96136       0.0013573         1.91952
     -12         2.06058      0.00142015         2.00839
     -11         2.15666      0.00148531         2.10055
     -10         2.27475      0.00156068         2.20714
      -9         2.36361      0.00161855         2.28897
      -8         2.46774      0.00168766         2.38671
      -7         2.55362      0.00174082         2.46189
      -6         2.63357      0.00179049         2.53214
      -5         2.71437        0.001849         2.61488
      -4         2.77155      0.00187958         2.65813
      -3         2.83124      0.00191523         2.70855
      -2          2.8753      0.00194481         2.75038
      -1         2.89246      0.00195692          2.7675
       0         2.91778      0.00197248         2.78951
       1         2.90493      0.00196549         2.77963
       2         2.87726      0.00195152         2.75986
       3         2.83965      0.00192083         2.71647
       4          2.7776      0.00188474         2.66542
       5         2.71866      0.00184527          2.6096
       6          2.6348      0.00179309         2.53581
       7         2.54684      0.00173625         2.45543
       8           2.452      0.00167546         2.36946
       9         2.36003      0.00161732         2.28724
      10         2.26838      0.00155698          2.2019
      11         2.16619      0.00148862         2.10522
      12         2.05931      0.00141982         2.00793
      13         1.95911       0.0013523         1.91244
      14         1.86497      0.00129262         1.82804
      15         1.77128      0.00122703         1.73528
      16         1.68224      0.00116958         1.65403
      17         1.59658       0.0011106         1.57063
      18         1.50866       0.0010527         1.48874
      19         1.43729      0.00100222         1.41735
      20         1.35797     0.000949702         1.34308
      21         1.28541     0.000898769         1.27105
      22         1.22077     0.000855243          1.2095
      23         1.15757     0.000811155         1.14715
      24         1.10072     0.000772014         1.09179
