   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50141         2.75725     0.00262978        2.62977         20978.9        2.19949        2199.49        -1.23778       0.158253        158.253
    init        0.501472         2.76516     0.00265159        2.65159         20993.1        2.20141        2201.41        0.173841       0.158575        158.575
       1        0.500075         2.76321     0.00264925        2.64925         20974.4         2.1919         2191.9         1.40363       0.158256        158.256
       2        0.500071         2.77895     0.00266343        2.66343         20982.8        2.19233        2192.32       -0.271459       0.158664        158.664
       3        0.500078         2.76998       0.002646        2.64599           20985        2.19209        2192.09        0.755694       0.158121        158.121
       4        0.500121         2.75915     0.00265176        2.65176         21016.9        2.19025        2190.25        0.190621       0.158867        158.867
       5        0.499882         2.76289     0.00265642        2.65642         21011.2        2.19531        2195.31        0.951472       0.158742        158.742
       6        0.499945         2.71951     0.00260877        2.60876           20974        2.20487        2204.87      -0.0387873       0.158303        158.303
       7        0.500396         2.78054     0.00266777        2.66777           21000        2.19322        2193.22         1.15218       0.158643        158.642
       8          0.4999         2.74725      0.0026224         2.6224         20985.5        2.20244        2202.44       0.0700901       0.158045        158.045
   total        0.500341         2.76004     0.00187106        2.64608         20991.2        1.55242        2195.46        0.547516       0.112033        158.438

    mode      occupation             +/-         std dev
     -25         1.07689     0.000754733         1.06735
     -24          1.1334     0.000794319         1.12334
     -23          1.1907     0.000834694         1.18044
     -22         1.25009     0.000874584         1.23685
     -21         1.31301     0.000916222         1.29573
     -20         1.38243     0.000965165         1.36495
     -19         1.45717      0.00101409         1.43414
     -18          1.5266      0.00106258         1.50271
     -17         1.60531      0.00111669         1.57924
     -16         1.68093      0.00116644         1.64959
     -15          1.7608      0.00122088         1.72659
     -14         1.85018      0.00127936         1.80929
     -13         1.94311      0.00134182         1.89762
     -12         2.02922      0.00139536         1.97333
     -11         2.11915      0.00145577         2.05877
     -10         2.20606      0.00150994         2.13538
      -9         2.28912      0.00156843          2.2181
      -8          2.3765      0.00162383         2.29645
      -7         2.46383      0.00168052         2.37661
      -6         2.52459      0.00172096         2.43381
      -5         2.59303      0.00175952         2.48834
      -4         2.64257      0.00179291         2.53556
      -3         2.69936      0.00182905         2.58666
      -2         2.73184      0.00185511         2.62352
      -1         2.73764       0.0018574         2.62676
       0         2.76004      0.00187106         2.64608
       1         2.75342      0.00186093         2.63176
       2         2.73371        0.001851         2.61771
       3         2.69921      0.00183035         2.58851
       4          2.6519      0.00179803          2.5428
       5         2.59306      0.00176316         2.49348
       6         2.53076      0.00172358         2.43751
       7         2.46563      0.00167983         2.37564
       8         2.38408      0.00163109          2.3067
       9         2.30375      0.00157542         2.22798
      10         2.20214      0.00150923         2.13437
      11         2.12503      0.00145893         2.06324
      12         2.02865       0.0013983         1.97749
      13         1.94047      0.00133964         1.89454
      14         1.85301      0.00128182         1.81277
      15         1.76791      0.00122145         1.72739
      16         1.68706      0.00116918         1.65347
      17         1.60504      0.00111474         1.57648
      18         1.53023      0.00106301         1.50332
      19         1.45275      0.00101068         1.42931
      20         1.38298     0.000964946         1.36464
      21         1.31638     0.000919778         1.30076
      22         1.24857     0.000873136          1.2348
      23         1.19037     0.000832644         1.17754
      24         1.13107     0.000793955         1.12282
      25         1.07925     0.000756953         1.07049
