   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499331         46.3412      0.0251601        25.1601         2964.06       0.149688        149.688      0.00654185      0.0378289        37.8289
       1        0.499926          43.671      0.0256401        25.6401         2969.71       0.147756        147.756          1.9121      0.0430808        43.0807
       2        0.500018         46.4663      0.0248972        24.8972         2966.19       0.149542        149.542         1.80816      0.0382207        38.2206
       3        0.500199         43.6858      0.0256737        25.6737         2971.17       0.148341        148.341         2.34312      0.0424424        42.4424
       4        0.499754         47.4726      0.0254369        25.4369          2962.4       0.148706        148.706         2.64523      0.0390632        39.0632
       5        0.500107         46.6491      0.0257666        25.7666         2962.03       0.148073        148.073         1.53672      0.0390788        39.0788
       6        0.500078         46.6419      0.0252788        25.2788         2967.71       0.150155        150.155         3.30631      0.0406259        40.6259
       7         0.49949         49.1278       0.024854         24.854         2957.85       0.146698        146.698         1.44556      0.0368082        36.8082
       8        0.500182         48.9867      0.0244853        24.4853         2958.97       0.149152        149.151        -2.96576      0.0355944        35.5944
   total        0.499429         46.5881      0.0179124         25.332         2964.53       0.105109        148.647         1.50313      0.0279161        39.4793

    mode      occupation             +/-         std dev
      -5        0.978439     0.000705728         0.99805
      -4         1.49551      0.00108086         1.52857
      -3          2.5715      0.00190252         2.69056
      -2         5.35823      0.00403538         5.70689
      -1         15.6198        0.011661         16.4911
       0         46.5881       0.0179124          25.332
       1         16.8937       0.0124728         17.6392
       2         5.42718      0.00405544         5.73525
       3         2.57462      0.00186824         2.64208
       4         1.50823      0.00109241         1.54491
       5        0.984643     0.000710815         1.00524
