   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505755         8.99822     0.00810212        8.10212         6088.71        0.61118         611.18       -0.618967      0.0853597        85.3597
    init        0.505707         8.88169     0.00805916        8.05916         6083.34       0.612597        612.596         1.32039      0.0842513        84.2512
    init        0.506065         9.00759     0.00808591        8.08591         6087.07       0.615076        615.075       -0.217198      0.0845653        84.5653
  accept         0.49964         9.04809     0.00810999        8.10999         6090.28       0.611913        611.913        -0.96966      0.0848191         84.819
  accept        0.500141         8.98841     0.00816363        8.16362         6100.76       0.615764        615.764       -0.295984      0.0851621         85.162
  accept        0.500333          9.0552     0.00814451         8.1445         6097.54         0.6184        618.399        0.327485      0.0854995        85.4995
  accept        0.499871         8.98332      0.0081563         8.1563         6095.97       0.613608        613.607       -0.509683      0.0849585        84.9584
  accept        0.500105         9.05778     0.00813037        8.13037         6090.19       0.615475        615.475       -0.869515        0.08516          85.16
  accept        0.499656         9.13605     0.00820599        8.20599         6095.27       0.616148        616.147        0.638646      0.0850771         85.077
  accept        0.500114         8.93855     0.00798978        7.98978         6086.73       0.614682        614.682       -0.435319      0.0849897        84.9897
  accept        0.499855         9.01389     0.00819719        8.19719         6085.53       0.615909        615.909       0.0908269      0.0849192        84.9191
       1        0.500036         9.28965     0.00834221        8.34221          6082.1       0.616625        616.625         1.49308      0.0843553        84.3552
       2        0.500197         8.99454     0.00809863        8.09863          6076.5       0.611685        611.685       -0.714649      0.0844636        84.4635
       3        0.499931         9.25241     0.00842864        8.42863         6092.12       0.613986        613.986        0.606222      0.0846999        84.6999
       4        0.499848         9.13555     0.00817257        8.17257         6090.95       0.616815        616.815        -1.21528      0.0846843        84.6843
       5        0.500095         8.99525     0.00806977        8.06976         6090.35       0.612155        612.155        0.682272      0.0847084        84.7083
       6        0.499899         9.09679      0.0083182        8.31819         6098.04        0.61536        615.359         1.31727      0.0850658        85.0657
       7        0.499783          9.3292     0.00838568        8.38568         6078.29        0.61577        615.769       0.0916187      0.0850145        85.0144
       8        0.499966         9.03001     0.00804812        8.04812         6073.94       0.615394        615.393       -0.900763      0.0847092        84.7092
   total         0.50016         9.14068     0.00582339        8.23551         6085.28       0.434798        614.897        0.159357      0.0599057        84.7194

    mode      occupation             +/-         std dev
     -11         1.37015     0.000972009         1.37463
     -10         1.60868      0.00113859         1.61022
      -9         1.90239      0.00134208         1.89799
      -8         2.27043      0.00160311         2.26714
      -7         2.75473      0.00193775         2.74039
      -6         3.39648      0.00237288         3.35576
      -5         4.19231      0.00291497         4.12238
      -4         5.21254      0.00356733         5.04497
      -3         6.38765      0.00428388         6.05833
      -2         7.64761      0.00502967         7.11303
      -1         8.64977      0.00554691         7.84451
       0         9.14068      0.00582339         8.23551
       1          8.6751      0.00556306         7.86735
       2         7.69111      0.00503491         7.12044
       3         6.37602      0.00427781         6.04973
       4         5.20603      0.00354802         5.01766
       5         4.20372      0.00291363         4.12049
       6         3.40894      0.00238645         3.37495
       7         2.75793      0.00193278         2.73337
       8         2.27709      0.00160267         2.26652
       9         1.89574       0.0013361         1.88953
      10         1.60513      0.00113372         1.60333
      11         1.36976     0.000969111         1.37053
