   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506215         7.94692     0.00724176        7.24175         6790.62       0.695634        695.634       -0.564675      0.0910969        91.0968
    init        0.506015         7.81945     0.00710158        7.10158         6791.11       0.700425        700.425       -0.139587      0.0915941        91.5941
  accept        0.500401         7.77766     0.00708765        7.08764          6804.7       0.697753        697.752        0.841189       0.091294         91.294
  accept        0.499976         7.77225     0.00714685        7.14685         6803.91       0.697023        697.023        0.880885       0.090709        90.7089
  accept        0.500088           7.812      0.0070896         7.0896          6795.6       0.705489        705.489        0.700557      0.0915961        91.5961
  accept         0.50006         7.77007     0.00706134        7.06134         6798.97       0.704264        704.264        0.280775      0.0914963        91.4962
  accept        0.500042         7.76247     0.00710835        7.10834         6800.85        0.70189         701.89        0.252106      0.0913668        91.3667
       1        0.499828         7.81179     0.00713399        7.13398         6789.02       0.700948        700.948       -0.111535      0.0907695        90.7695
       2        0.499935         7.72589     0.00707871        7.07871          6796.1       0.707663        707.663        0.387067      0.0908136        90.8136
       3         0.50008         7.87889     0.00719576        7.19576         6802.13       0.703622        703.622        0.268492      0.0914419        91.4418
       4        0.500079         7.83182     0.00726671         7.2667         6794.29       0.706027        706.026         1.32798      0.0910006        91.0006
       5        0.499956         7.68917      0.0070124        7.01239         6809.71       0.700739        700.739       -0.140701      0.0916427        91.6426
       6         0.49985          7.7688      0.0071429         7.1429         6792.98       0.703616        703.616        0.752618      0.0909895        90.9895
       7        0.499891         7.75564     0.00711007        7.11006         6792.33       0.702186        702.186       -0.783499      0.0908821        90.8821
       8        0.500053         7.98845     0.00727688        7.27687         6798.77       0.704858        704.857          2.0398      0.0915052        91.5051
   total        0.500165          7.8064     0.00505825        7.15345         6796.86       0.497604        703.718        0.480863      0.0644467        91.1414

    mode      occupation             +/-         std dev
     -12         1.36307     0.000962619         1.36135
     -11         1.57301      0.00111441         1.57601
     -10         1.82748      0.00128924         1.82327
      -9         2.14315      0.00151231         2.13873
      -8         2.52213       0.0017712         2.50486
      -7         2.97917      0.00208614         2.95025
      -6         3.59277      0.00249628         3.53028
      -5         4.31214      0.00296068         4.18704
      -4         5.13837      0.00349517         4.94292
      -3         6.04721      0.00404401         5.71909
      -2          6.9144      0.00455209         6.43763
      -1         7.62814      0.00495889         7.01293
       0          7.8064      0.00505825         7.15345
       1         7.64367      0.00495168         7.00273
       2         6.91628      0.00455773         6.44561
       3         6.06231      0.00406444         5.74799
       4         5.16065      0.00350813         4.96125
       5         4.34276      0.00297882         4.21268
       6         3.59181       0.0024888         3.51969
       7         3.00982      0.00210214         2.97287
       8         2.52905      0.00177465         2.50974
       9         2.13405      0.00149753         2.11783
      10         1.82369       0.0012863         1.81911
      11         1.57189      0.00111067         1.57073
      12         1.36658      0.00096431         1.36374
