   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506342         7.00954     0.00641153        6.41153          7539.9       0.794796        794.796       -0.832597      0.0976381        97.6381
    init        0.506378         6.81408     0.00622974        6.22974         7550.72       0.797503        797.503        -0.57518      0.0977084        97.7083
    init        0.506727         6.79464     0.00623866        6.23866         7543.17       0.786997        786.996      -0.0018768      0.0971507        97.1506
  accept        0.500057         6.87173      0.0063444         6.3444         7544.37       0.789459        789.459       0.0509974      0.0973368        97.3368
       1        0.499827         6.98335     0.00641732        6.41732         7547.82       0.786602        786.602       -0.311256      0.0973453        97.3452
       2        0.500125           6.921     0.00636658        6.36658          7551.8       0.793073        793.073       -0.290038      0.0974244        97.4244
       3         0.49979         6.83957      0.0063121         6.3121         7552.91       0.795768        795.768       -0.261524      0.0968968        96.8967
       4        0.500246         7.00485      0.0064635        6.46349         7553.09       0.787639        787.639         1.28329      0.0976908        97.6908
       5        0.499854         6.95998     0.00637582        6.37582         7554.97       0.795925        795.924      -0.0339869      0.0973728        97.3728
       6        0.499766         6.92697     0.00636133        6.36132         7548.49       0.797852        797.851        0.352175      0.0973181        97.3181
       7         0.50061         6.95426     0.00634326        6.34325         7557.14        0.79477        794.769       -0.829029      0.0972051         97.205
       8        0.500032         7.01462     0.00647314        6.47314         7551.79       0.793693        793.692       -0.863668      0.0968744        96.8744
   total        0.500428         6.95083     0.00451798        6.38939         7552.18        0.56082        793.119       -0.122005      0.0687789         97.268

    mode      occupation             +/-         std dev
     -13         1.34738     0.000950549         1.34428
     -12         1.53369      0.00108278         1.53128
     -11         1.75308      0.00123687          1.7492
     -10         2.01482      0.00141855         2.00613
      -9         2.32157      0.00162914         2.30395
      -8         2.70932      0.00189215          2.6759
      -7         3.15788       0.0021978         3.10816
      -6          3.7014      0.00254995         3.60618
      -5         4.31004      0.00295288           4.176
      -4         4.97497      0.00336887          4.7643
      -3         5.67015      0.00378364         5.35087
      -2         6.29496      0.00415692         5.87877
      -1         6.75879      0.00441487         6.24357
       0         6.95083      0.00451798         6.38939
       1         6.70296      0.00439044         6.20901
       2          6.3161      0.00416247         5.88661
       3         5.67312      0.00378729         5.35603
       4         4.97558      0.00337588         4.77421
       5         4.31285      0.00294965         4.17144
       6         3.69102      0.00255031         3.60668
       7          3.1562      0.00219219         3.10023
       8         2.70745      0.00189339         2.67766
       9         2.32357      0.00162677         2.30059
      10         2.00824      0.00141099         1.99545
      11         1.75164      0.00123445         1.74577
      12         1.53211      0.00108195         1.53011
      13         1.35028     0.000953778         1.34885
