   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506698          6.0936     0.00568636        5.68636         8354.67       0.888027        888.026        0.175672       0.103555        103.555
  accept         0.50009         6.21373     0.00575163        5.75162          8354.8       0.883541        883.541       -0.313865       0.103305        103.305
  accept        0.499932         6.14556     0.00574038        5.74038         8354.55       0.891058        891.057         1.38026       0.102973        102.973
  accept        0.500051         6.18315     0.00571464        5.71464         8354.25       0.890909        890.909       -0.807059       0.102371        102.371
  accept        0.499739         6.17642     0.00577186        5.77186         8356.68       0.891999        891.998       -0.213274       0.103158        103.158
       1        0.500239         6.14745     0.00573207        5.73207         8348.67       0.889497        889.496       -0.760015       0.103193        103.193
       2        0.499985         6.14083     0.00563658        5.63658          8356.3       0.891312        891.312        -0.86404       0.103332        103.332
       3        0.500022         6.22871     0.00575397        5.75396         8343.38       0.881997        881.997        0.961886       0.103202        103.202
       4        0.500001          6.1612     0.00569509        5.69509         8352.54       0.891554        891.554        0.522526       0.103428        103.428
       5        0.499792         6.17382     0.00568161        5.68161         8345.83       0.887412        887.412        0.364382       0.103405        103.405
       6        0.500186         6.08295     0.00567414        5.67414         8359.56       0.885498        885.498       -0.717653       0.102726        102.726
       7         0.49984          6.2128     0.00574717        5.74716         8348.59       0.889471        889.471       -0.550597       0.102571        102.571
       8        0.500474         6.11645      0.0056617         5.6617         8361.03       0.886933        886.933        -1.53406       0.103031        103.031
   total         0.49994         6.15783     0.00402896         5.6978         8351.91       0.627979        888.097       -0.307211      0.0729029          103.1

    mode      occupation             +/-         std dev
     -14         1.32857     0.000937619         1.32599
     -13         1.49286      0.00105336         1.48968
     -12         1.68047       0.0011808         1.66991
     -11         1.90514      0.00133832         1.89268
     -10         2.16015      0.00151508         2.14265
      -9         2.47008      0.00172492         2.43941
      -8         2.82675      0.00197079         2.78712
      -7         3.22816      0.00223187         3.15634
      -6         3.71661      0.00256179         3.62291
      -5         4.22617      0.00287586         4.06707
      -4         4.79182      0.00324066         4.58299
      -3          5.2861       0.0035337         4.99741
      -2         5.76659      0.00381968         5.40184
      -1         6.07828      0.00399641         5.65178
       0         6.15783      0.00402896          5.6978
       1          6.0651      0.00398356         5.63361
       2         5.72515      0.00379243         5.36331
       3         5.29218      0.00352884         4.99053
       4         4.78873      0.00323317         4.57239
       5         4.22369      0.00287802         4.07014
       6         3.70655      0.00254305         3.59642
       7         3.24621      0.00224724         3.17808
       8         2.81961       0.0019631         2.77624
       9          2.4592      0.00171613         2.42697
      10         2.15892      0.00151033         2.13593
      11         1.90472      0.00133434         1.88705
      12         1.67846      0.00118054         1.66954
      13         1.48955      0.00104945         1.48415
      14         1.32631     0.000935461         1.32294
