   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506673         5.52878     0.00516475        5.16475         9204.41       0.988614        988.614        0.779136        0.10914         109.14
    init         0.50663         5.54376     0.00509543        5.09542         9217.71         0.9852        985.199       0.0288708       0.108769        108.769
  accept        0.499852         5.61296     0.00524565        5.24564         9210.79       0.989749        989.749        0.726771       0.108871         108.87
  accept        0.500349         5.57531     0.00518576        5.18575         9216.58        0.98629        986.289        0.641576       0.109256        109.256
  accept        0.499726         5.57717     0.00517847        5.17847         9207.26       0.988084        988.084        0.278023       0.108404        108.404
       1        0.500011         5.56007     0.00509984        5.09984         9199.92       0.978586        978.585       -0.658222        0.10869         108.69
       2        0.500361         5.69959     0.00528409        5.28409         9199.56       0.980151         980.15        0.814825       0.108281        108.281
       3        0.499776          5.5992     0.00521625        5.21625         9216.23       0.981528        981.527        -0.35958       0.109024        109.024
       4         0.49984         5.52157     0.00520321         5.2032         9212.47       0.991691         991.69        0.452949       0.108988        108.988
       5        0.500242         5.55894     0.00518732        5.18732         9223.68       0.990206        990.205       -0.046006       0.109366        109.366
       6        0.500097         5.52084      0.0051385         5.1385         9227.36        0.98601         986.01        0.122963       0.108731        108.731
       7        0.500203         5.58705     0.00519088        5.19088         9222.81       0.990678        990.678      -0.0296227        0.10895         108.95
       8        0.499563         5.50167      0.0051934         5.1934         9214.81        0.98529         985.29       -0.450004       0.108919        108.919
   total        0.500023         5.56797     0.00366983        5.18992          9214.5        0.69682        985.451      -0.0199293      0.0769801        108.866

    mode      occupation             +/-         std dev
     -15          1.3063     0.000920715         1.30209
     -14         1.45322      0.00102224         1.44566
     -13         1.61304      0.00113643         1.60715
     -12         1.81672      0.00127375         1.80136
     -11         2.02598      0.00141823         2.00568
     -10         2.27953      0.00159078         2.24971
      -9         2.57597      0.00179402         2.53713
      -8         2.89959       0.0020087         2.84074
      -7          3.2815       0.0022657         3.20418
      -6         3.67852      0.00251943         3.56302
      -5         4.10458      0.00278715         3.94162
      -4         4.52687      0.00305369         4.31857
      -3         4.90963      0.00328833          4.6504
      -2         5.24256      0.00347189            4.91
      -1         5.48456       0.0036202         5.11973
       0         5.56797      0.00366983         5.18992
       1          5.4748      0.00361217         5.10838
       2         5.26081      0.00349341         4.94042
       3         4.94878      0.00331191         4.68374
       4         4.53875      0.00305769         4.32423
       5         4.10189      0.00278763         3.94231
       6         3.67731      0.00252218          3.5669
       7          3.2738      0.00224926         3.18093
       8         2.89202      0.00200739         2.83888
       9          2.5784      0.00179423         2.53742
      10         2.27914      0.00159115         2.25022
      11         2.02496      0.00141811         2.00551
      12         1.81298      0.00127293          1.8002
      13         1.61329      0.00113447         1.60439
      14         1.44999      0.00102054         1.44326
      15         1.30654     0.000920817         1.30223
