   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506421         5.05148     0.00475533        4.75533         10127.8        1.09446        1094.46         1.28402       0.114181        114.181
    init        0.506189         5.12923     0.00481555        4.81555         10123.6        1.09737        1097.37       -0.398514       0.114573        114.573
    init        0.506267         5.00205     0.00467931        4.67931         10135.4        1.09424        1094.24         1.01284       0.114188        114.188
    init        0.506773         5.07249     0.00475377        4.75376         10131.1        1.09127        1091.26        0.474977        0.11379         113.79
    init        0.506218         5.02608      0.0046882         4.6882         10123.7        1.08709        1087.09       -0.371058       0.114193        114.193
    init        0.506807         5.04497     0.00476981        4.76981         10134.9        1.08943        1089.43        -1.07241       0.114484        114.484
    init        0.506541         5.05653     0.00472596        4.72596           10123        1.09267        1092.67        0.826603       0.113682        113.682
    init        0.506788         5.04035     0.00472683        4.72683         10124.1        1.09227        1092.27         1.61296       0.114048        114.048
    init        0.506554         5.03133     0.00477197        4.77197         10115.3        1.08696        1086.96        0.391086       0.114364        114.364
    init        0.506196          5.0878     0.00477371         4.7737         10136.1        1.09402        1094.02       -0.694995       0.114113        114.113
    init        0.506563         5.11195     0.00474575        4.74575         10118.5        1.08491        1084.91        0.580057       0.114155        114.155
    init        0.506259         5.06216     0.00473064        4.73063         10127.6        1.08767        1087.67         1.63018       0.114611         114.61
    init        0.506411         5.00546     0.00466446        4.66446         10107.6        1.08726        1087.25       -0.332438       0.114445        114.445
  accept        0.500145         5.05318     0.00477469        4.77469         10122.7        1.09533        1095.32       -0.624529       0.113565        113.565
  accept        0.500131         5.05484     0.00478001           4.78         10128.1         1.0943         1094.3        -1.11858       0.114122        114.122
  accept        0.500044         5.08865     0.00474348        4.74348         10127.2         1.0852         1085.2         0.33399       0.114499        114.499
       1        0.499721         5.03688     0.00472098        4.72098           10125        1.08489        1084.89        -1.53196       0.114594        114.594
       2        0.500435         5.08345     0.00471047        4.71047         10136.2        1.08373        1083.73        0.502021       0.114786        114.786
       3        0.499591         5.15301     0.00478612        4.78611         10128.4        1.09453        1094.53       -0.267001       0.115173        115.173
       4        0.500026         5.04664     0.00467477        4.67476         10117.5        1.09037        1090.36         1.29924       0.114467        114.467
       5         0.49989         5.07947     0.00476537        4.76537         10127.1        1.08664        1086.64       -0.270625       0.113949        113.949
       6        0.500121         5.08854     0.00471929        4.71928         10123.7        1.08993        1089.93       -0.816842       0.114152        114.152
       7        0.499751          5.0611     0.00475349        4.75349         10123.1        1.08483        1084.83      -0.0552694       0.114147        114.147
       8        0.499741         5.13892     0.00479123        4.79123         10115.2        1.09245        1092.45       0.0829573       0.113866        113.866
   total        0.500097         5.08602     0.00335154        4.73979         10124.6       0.769651        1088.45       -0.144777      0.0808855        114.389

    mode      occupation             +/-         std dev
     -16           1.282     0.000903128         1.27722
     -15          1.4109     0.000993291         1.40472
     -14         1.56052      0.00109623         1.55031
     -13         1.72075       0.0012062         1.70583
     -12         1.91047      0.00133824         1.89255
     -11         2.12427      0.00148624         2.10186
     -10         2.36502      0.00164218          2.3224
      -9         2.62961      0.00181978         2.57356
      -8         2.92466      0.00201847         2.85455
      -7         3.25331      0.00223369         3.15891
      -6         3.60494      0.00245453         3.47122
      -5         3.95959      0.00268729          3.8004
      -4         4.28496      0.00288332         4.07763
      -3         4.59372      0.00308342         4.36061
      -2         4.85971      0.00323428         4.57397
      -1         4.99788      0.00332763         4.70598
       0         5.08602      0.00335154         4.73979
       1         5.01176      0.00332341         4.70001
       2         4.84125      0.00322858          4.5659
       3         4.59154      0.00307811          4.3531
       4         4.28778      0.00288884         4.08544
       5         3.92738      0.00266153         3.76397
       6         3.57638       0.0024376         3.44729
       7         3.24615      0.00223382         3.15909
       8         2.92634      0.00201932         2.85575
       9         2.63463      0.00182581         2.58208
      10         2.37041      0.00165196         2.33622
      11         2.12068      0.00147856           2.091
      12         1.91219      0.00134131          1.8969
      13         1.72248      0.00121082         1.71236
      14          1.5624      0.00109778         1.55249
      15         1.41568     0.000996999         1.40997
      16         1.28462     0.000903532         1.27779
