   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506119         4.68629     0.00441894        4.41894         11095.6        1.19432        1194.32       -0.627617       0.119854        119.854
    init        0.506153         4.66295     0.00440824        4.40824         11088.3        1.19419        1194.19       0.0328413       0.119373        119.373
  accept        0.499882         4.68372     0.00445504        4.45504         11090.2        1.19575        1195.75       -0.182453       0.119949        119.949
       1        0.499943         4.62511     0.00434955        4.34955         11081.4        1.19445        1194.45        0.250986       0.119727        119.727
       2        0.500257         4.69334     0.00441695        4.41695         11097.2        1.20254        1202.54       -0.126765       0.120093        120.093
       3         0.49993         4.64258     0.00435648        4.35648         11078.6        1.19866        1198.65       -0.788764       0.119507        119.507
       4        0.499913         4.66527     0.00437629        4.37629         11097.3        1.19951        1199.51       -0.724067       0.119796        119.796
       5        0.500118         4.66711     0.00439069        4.39069         11099.7        1.19161         1191.6        0.748406       0.119836        119.836
       6        0.499922         4.64109     0.00434335        4.34335         11101.7        1.20137        1201.37        0.539395        0.11942         119.42
       7        0.500304         4.63537      0.0043412         4.3412         11096.5        1.19511        1195.11       -0.809622       0.119669        119.669
       8        0.499435         4.61216     0.00433397        4.33396         11096.6        1.19009        1190.09         1.07551       0.119655        119.655
   total        0.499559         4.64769     0.00308552        4.36358         11093.5         0.8462        1196.71       0.0149992      0.0846587        119.726

    mode      occupation             +/-         std dev
     -17         1.26214     0.000888199          1.2561
     -16          1.3745     0.000968187         1.36922
     -15         1.50406      0.00105523         1.49232
     -14         1.64917      0.00115563          1.6343
     -13         1.81182       0.0012659         1.79026
     -12         1.98693      0.00139029         1.96616
     -11         2.19273       0.0015286         2.16177
     -10           2.418      0.00167622         2.37053
      -9         2.65913       0.0018402         2.60243
      -8         2.92705      0.00201238         2.84593
      -7         3.20276      0.00219692         3.10692
      -6         3.50118      0.00238407         3.37158
      -5         3.76738      0.00255501         3.61333
      -4         4.06556      0.00273963         3.87442
      -3         4.28877      0.00287825         4.07046
      -2         4.45721      0.00297784          4.2113
      -1         4.59294      0.00305785         4.32446
       0         4.64769      0.00308552         4.36358
       1         4.60917      0.00306733         4.33785
       2         4.48199      0.00299309         4.23286
       3         4.29167      0.00287233         4.06208
       4         4.04449      0.00271923         3.84557
       5         3.78466      0.00256517          3.6277
       6         3.50546      0.00238694         3.37565
       7         3.19313      0.00218657         3.09228
       8         2.92502      0.00201397         2.84818
       9         2.65099      0.00183814         2.59953
      10         2.41887      0.00167888         2.37429
      11         2.18686      0.00152291         2.15371
      12         1.99511      0.00139298         1.96997
      13         1.81071      0.00126896         1.79458
      14         1.65014      0.00115519         1.63369
      15         1.50603      0.00105534         1.49248
      16         1.37608     0.000968265         1.36933
      17         1.26059     0.000888969         1.25719
