   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505722         4.35728     0.00408376        4.08376         12117.5        1.30107        1301.07       -0.465974       0.125271        125.271
    init        0.505529         4.31722     0.00408864        4.08864         12117.8        1.29851        1298.51       -0.146277       0.125593        125.593
  accept        0.500333         4.28994     0.00407634        4.07634           12130        1.31289        1312.89       -0.879122       0.124145        124.145
  accept        0.499617         4.26073     0.00402409        4.02409         12129.7        1.30259        1302.59        0.603578       0.125164        125.164
  accept        0.500381         4.29974     0.00406057        4.06057         12120.6        1.31302        1313.01        0.085914       0.125494        125.494
       1        0.499828         4.29756     0.00406147        4.06147         12133.4        1.30299        1302.98       -0.599833       0.124987        124.987
       2        0.500195         4.31166     0.00408502        4.08502         12121.7        1.30273        1302.73          0.9027       0.124933        124.933
       3         0.49985         4.25728      0.0040131        4.01309         12125.9        1.30937        1309.37        0.133249       0.123993        123.993
       4        0.499986         4.25794     0.00399355        3.99355         12124.4        1.30276        1302.75        0.222559       0.124546        124.546
       5        0.499965         4.33763     0.00406708        4.06707         12110.9        1.30011        1300.11        0.705427       0.124474        124.474
       6        0.500073         4.36157     0.00411325        4.11325           12123        1.30655        1306.54        0.448136       0.125001        125.001
       7        0.499767         4.30482     0.00406555        4.06554           12107        1.30862        1308.62         1.19204        0.12461         124.61
       8        0.500362         4.29663     0.00406743        4.06743           12136        1.30345        1303.45        0.335131       0.125254        125.254
   total        0.500335         4.30363     0.00287013        4.05898         12122.8       0.922785        1305.01        0.387319      0.0882027        124.737

    mode      occupation             +/-         std dev
     -18         1.23744     0.000870667         1.23131
     -17         1.34133     0.000941606         1.33163
     -16         1.45574        0.001022         1.44532
     -15          1.5846      0.00111056         1.57057
     -14         1.72171      0.00120376         1.70238
     -13         1.87556      0.00130796         1.84973
     -12         2.05244      0.00143147         2.02441
     -11         2.23948      0.00155539         2.19965
     -10         2.44601      0.00169305         2.39433
      -9          2.6586      0.00183892         2.60062
      -8         2.88501      0.00198565         2.80814
      -7         3.12148      0.00213322         3.01683
      -6         3.36244      0.00228885         3.23693
      -5         3.60632        0.002445         3.45775
      -4         3.82104      0.00257232          3.6378
      -3         4.02527      0.00270105         3.81987
      -2         4.13009      0.00276635         3.91221
      -1          4.2527      0.00283993         4.01626
       0         4.30363      0.00287013         4.05898
       1         4.25429      0.00284978         4.03019
       2         4.14078       0.0027731         3.92176
       3         4.01347      0.00269177         3.80673
       4         3.83383      0.00258821         3.66028
       5         3.61447      0.00244166         3.45303
       6         3.37559      0.00230214         3.25572
       7         3.12351      0.00214005         3.02649
       8         2.89138      0.00199124         2.81604
       9         2.66852      0.00184461         2.60867
      10         2.44455      0.00169309         2.39439
      11         2.24614      0.00155751         2.20265
      12         2.05632      0.00142948          2.0216
      13         1.88429      0.00131551         1.86041
      14         1.72377      0.00120711         1.70711
      15         1.57652      0.00110352         1.56062
      16         1.45809      0.00102262          1.4462
      17          1.3376     0.000940165         1.32959
      18         1.23599     0.000868552         1.22832
