   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505168         3.98914     0.00375693        3.75693         13204.4        1.42044        1420.44        -1.29747       0.129502        129.502
    init        0.505162          3.9895     0.00381637        3.81636         13212.5        1.42543        1425.43       0.0537346       0.129552        129.552
  accept        0.500367         3.97277     0.00378005        3.78004         13202.4        1.42663        1426.63        0.128714       0.129766        129.766
       1        0.499853         3.96473     0.00374255        3.74254         13205.6        1.41798        1417.98       -0.249975       0.129797        129.797
       2        0.499954         3.93919     0.00371178        3.71178         13206.3        1.42389        1423.89          1.0834       0.129918        129.918
       3        0.499691         3.94825     0.00375807        3.75807         13189.3        1.42604        1426.04        0.416958        0.12949         129.49
       4        0.500249         3.95868     0.00376968        3.76968         13196.8        1.42108        1421.08        0.215296       0.130206        130.205
       5        0.499691         3.99531     0.00378682        3.78682         13215.3        1.42841        1428.41       -0.146726       0.130286        130.286
       6        0.500268         3.99443     0.00375908        3.75908         13195.4        1.41256        1412.56       -0.271474       0.130255        130.255
       7        0.500158         4.00993     0.00380235        3.80235         13204.8        1.42414        1424.14        0.826181       0.130154        130.154
       8        0.500092         4.00011     0.00377389        3.77389         13205.6        1.42406        1424.06        0.684261       0.129512        129.512
   total         0.50034         3.97699     0.00266163        3.76411         13202.2         1.0058        1422.41        0.278196      0.0919017        129.969

    mode      occupation             +/-         std dev
     -19         1.21381     0.000852766         1.20599
     -18         1.30764     0.000917516         1.29756
     -17         1.40879     0.000988432         1.39785
     -16         1.52146      0.00106742         1.50955
     -15         1.64133      0.00114594          1.6206
     -14          1.7804       0.0012408         1.75476
     -13         1.93161      0.00134325         1.89964
     -12         2.08561      0.00145162          2.0529
     -11         2.25248       0.0015615          2.2083
     -10         2.44295      0.00169058         2.39085
      -9         2.64145      0.00182072         2.57489
      -8           2.835      0.00194694         2.75339
      -7         3.03045      0.00207114         2.92904
      -6         3.25849      0.00221813          3.1369
      -5         3.42521      0.00232212         3.28397
      -4         3.62194       0.0024382         3.44813
      -3         3.76267      0.00252942         3.57714
      -2         3.88472      0.00260386         3.68241
      -1         3.94754      0.00264941         3.74684
       0         3.97699      0.00266163         3.76411
       1         3.93504      0.00263896         3.73205
       2         3.89463      0.00261439          3.6973
       3         3.77126      0.00253806         3.58935
       4         3.61307       0.0024423         3.45393
       5          3.4569       0.0023432         3.31378
       6         3.25172      0.00220663         3.12064
       7         3.04191      0.00207445         2.93372
       8         2.82833      0.00194171         2.74599
       9         2.63613      0.00181568         2.56775
      10         2.44159      0.00168695         2.38571
      11         2.26484      0.00157341         2.22514
      12         2.08403      0.00145069         2.05159
      13         1.92928      0.00134455         1.90147
      14         1.78172      0.00124385         1.75906
      15         1.64292      0.00114953         1.62569
      16         1.52397      0.00106744         1.50959
      17         1.41396     0.000991624         1.40237
      18         1.30484     0.000914544         1.29336
      19         1.21332     0.000853573         1.20713
