   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.504605         3.70188     0.00350527        3.50527         14356.1        1.54482        1544.82        -1.40254       0.135118        135.118
    init        0.504637         3.72814     0.00353451         3.5345           14355        1.53882        1538.82        0.276622       0.134615        134.615
  accept        0.500273          3.6571     0.00349587        3.49587         14337.6        1.54006        1540.06       -0.064086       0.135126        135.126
       1        0.499939         3.67087     0.00348281        3.48281         14346.6         1.5358         1535.8        0.577506       0.134637        134.637
       2        0.499923         3.71925     0.00356257        3.56257         14358.7        1.54593        1545.93        0.770305       0.134348        134.348
       3        0.500181         3.71202     0.00354913        3.54913         14361.2        1.54464        1544.64        0.309322       0.134707        134.707
       4        0.499968         3.70579     0.00352021        3.52021         14341.2        1.54831        1548.31        0.863708       0.134846        134.846
       5        0.499985         3.72574     0.00353818        3.53818         14341.3        1.54662        1546.62         0.24417       0.134862        134.862
       6        0.499401         3.72838     0.00352697        3.52697         14342.4        1.53357        1533.57        -1.13793       0.134582        134.582
       7        0.500579         3.65535     0.00349113        3.49113           14372        1.54966        1549.66        0.507064       0.135263        135.263
       8        0.499888         3.69693     0.00349515        3.49515         14343.9        1.54624        1546.24         0.58731       0.135197        135.197
   total        0.500191          3.7021     0.00249001        3.52141         14350.5        1.09183        1544.08        0.346218      0.0953439        134.837

    mode      occupation             +/-         std dev
     -20         1.18777     0.000832902          1.1779
     -19         1.27492     0.000897099         1.26869
     -18         1.36774     0.000958947         1.35616
     -17         1.46817      0.00102846         1.45446
     -16         1.57685      0.00110182         1.55821
     -15         1.68926      0.00118061         1.66963
     -14          1.8231      0.00126938         1.79517
     -13         1.96011      0.00136386         1.92878
     -12         2.11396      0.00146419         2.07068
     -11         2.25803      0.00156052         2.20691
     -10         2.43252      0.00167822         2.37336
      -9         2.60924      0.00179462         2.53797
      -8         2.76584      0.00189053         2.67361
      -7         2.94787      0.00201787         2.85369
      -6         3.10657      0.00211026         2.98436
      -5         3.26859      0.00221246         3.12889
      -4         3.41082      0.00230318         3.25719
      -3          3.5373      0.00237957         3.36522
      -2         3.63764      0.00245074         3.46587
      -1          3.6934       0.0024775         3.50371
       0          3.7021      0.00249001         3.52141
       1         3.67648      0.00246924         3.49204
       2         3.62545      0.00244292         3.45481
       3         3.55024      0.00239467         3.38657
       4         3.42874      0.00231435         3.27298
       5         3.29125      0.00223106         3.15519
       6         3.11471      0.00211428         2.99005
       7         2.94688      0.00201412          2.8484
       8         2.77727      0.00190222         2.69014
       9         2.60259      0.00178785         2.52841
      10         2.41862      0.00166862         2.35978
      11         2.26155      0.00156521         2.21354
      12         2.10829      0.00146244          2.0682
      13         1.97056      0.00137061         1.93834
      14         1.82182      0.00127015         1.79626
      15         1.69573      0.00118356         1.67381
      16         1.57873      0.00110101         1.55706
      17         1.46621      0.00102597         1.45093
      18         1.37112     0.000961037         1.35911
      19         1.27372     0.000892185         1.26174
      20         1.18822     0.000834653         1.18038
