   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.504167         3.43977     0.00324908        3.24908         15559.5        1.67004        1670.03         -2.1056       0.139656        139.656
    init        0.504074         3.49341     0.00333581        3.33581         15555.2        1.66969        1669.69         1.00406       0.139761        139.761
    init        0.504336         3.48223      0.0033296         3.3296         15553.4        1.66678        1666.78         0.39968       0.139841        139.841
  accept        0.499586         3.46317     0.00329617        3.29616         15549.3        1.66536        1665.36        0.203093        0.13967         139.67
       1        0.500078         3.49768     0.00331279        3.31279         15549.8        1.66452        1664.52       -0.217252       0.140338        140.338
       2        0.500338          3.4559     0.00329162        3.29162         15575.4        1.67446        1674.46        -1.34571        0.14028         140.28
       3         0.49959          3.4674     0.00332025        3.32025         15562.4         1.6698         1669.8         1.01502       0.140238        140.237
       4        0.499991         3.49257     0.00329308        3.29308         15539.2        1.67048        1670.48        -1.82217       0.139823        139.823
       5        0.500023         3.48227     0.00329198        3.29198         15545.5        1.67279        1672.79        0.339729       0.139979        139.979
       6        0.499686         3.46046     0.00330659        3.30658         15547.9        1.66856        1668.56        0.258283       0.140165        140.164
       7        0.500587         3.44709     0.00328197        3.28197         15558.6         1.6663         1666.3       0.0808652       0.140359        140.359
       8        0.500018         3.48234     0.00329371        3.29371         15557.5         1.6678         1667.8        0.336109       0.139404        139.404
   total        0.499977         3.47317     0.00233243        3.29855           15555        1.18049        1669.46       -0.198916      0.0990668        140.102

    mode      occupation             +/-         std dev
     -21         1.16459     0.000819355         1.15874
     -20         1.24347     0.000874183         1.23628
     -19         1.32635     0.000929811         1.31495
     -18         1.41726     0.000992393         1.40346
     -17          1.5141      0.00105803         1.49628
     -16         1.61471      0.00112834         1.59571
     -15         1.73518      0.00121127         1.71299
     -14          1.8544      0.00128605         1.81875
     -13         1.97877      0.00137124         1.93923
     -12         2.11925      0.00146829         2.07648
     -11         2.25581      0.00155723         2.20226
     -10         2.40355      0.00165257         2.33709
      -9         2.55249      0.00175452         2.48126
      -8         2.70342       0.0018509         2.61756
      -7         2.84516      0.00194464         2.75014
      -6         2.99273      0.00203313         2.87528
      -5         3.11746       0.0021135         2.98894
      -4         3.23651      0.00219524         3.10454
      -3         3.34148      0.00225291          3.1861
      -2         3.41166      0.00229949         3.25197
      -1         3.44877      0.00231915         3.27977
       0         3.47317      0.00233243         3.29855
       1         3.43971      0.00230957         3.26623
       2         3.40351       0.0022917         3.24095
       3         3.33709      0.00225809         3.19342
       4         3.25123      0.00220047         3.11194
       5         3.12109      0.00211794         2.99522
       6         2.98536      0.00203095          2.8722
       7          2.8458      0.00194309         2.74795
       8         2.70237      0.00185078         2.61739
       9         2.54729      0.00174853          2.4728
      10         2.40811      0.00165784         2.34454
      11          2.2506      0.00155092         2.19333
      12          2.1117       0.0014611         2.06631
      13         1.97936      0.00137587         1.94577
      14         1.85444      0.00128718         1.82034
      15         1.72889      0.00120759         1.70779
      16         1.61804       0.0011308          1.5992
      17         1.51194      0.00105638         1.49395
      18         1.41714     0.000993444         1.40494
      19         1.32763     0.000931435         1.31725
      20         1.24449     0.000874181         1.23628
      21         1.16394      0.00081738         1.15595
