   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init          0.5035         3.28856     0.00314841         3.1484         16821.9        1.79439        1794.39          1.4781       0.144763        144.763
    init        0.503647         3.27285     0.00311593        3.11593         16803.7        1.80295        1802.94       -0.257928       0.144572        144.572
  accept        0.499744         3.29257     0.00313948        3.13948           16809        1.79662        1796.62        0.288081       0.144515        144.515
       1        0.499886         3.24702     0.00310358        3.10357         16821.3        1.79188        1791.88       -0.692474       0.144999        144.999
       2        0.500569         3.26046     0.00309637        3.09637         16825.3        1.79104        1791.04      -0.0388929       0.144547        144.547
       3        0.500147          3.2377     0.00309054        3.09054         16842.9        1.78533        1785.33       -0.612731       0.144674        144.674
       4        0.499916         3.24473     0.00312008        3.12008         16821.9        1.78936        1789.36       -0.316902       0.144792        144.792
       5        0.499873         3.23133     0.00308912        3.08912         16819.7        1.79589        1795.89        -0.55649       0.144558        144.558
       6         0.49985         3.26938     0.00312179        3.12179         16834.8        1.79913        1799.12       -0.897207       0.144266        144.265
       7        0.499955          3.2932     0.00314724        3.14723         16818.2        1.79833        1798.33        0.631468       0.144507        144.507
       8        0.499748          3.2607     0.00310714        3.10714         16802.2        1.79147        1791.47        0.496611       0.145266        145.265
   total        0.499831         3.25651     0.00219947        3.11052           16823        1.26789        1793.07       -0.260618        0.10231        144.689

    mode      occupation             +/-         std dev
     -22         1.14159     0.000800496         1.13207
     -21         1.21394     0.000852102         1.20505
     -20         1.29246     0.000904596         1.27929
     -19         1.37265     0.000961316         1.35951
     -18         1.45908      0.00102031         1.44294
     -17         1.55003      0.00108137         1.52929
     -16         1.64902      0.00114794         1.62343
     -15         1.75357      0.00121817         1.72275
     -14         1.86692      0.00129622         1.83313
     -13         1.98181      0.00137191         1.94017
     -12         2.11202      0.00145724         2.06085
     -11         2.22886      0.00153802         2.17509
     -10         2.36471      0.00162814         2.30254
      -9         2.49143      0.00170722         2.41438
      -8          2.6225      0.00179455         2.53788
      -7          2.7456      0.00187194         2.64732
      -6         2.86726      0.00194705         2.75354
      -5         2.98261      0.00202539         2.86434
      -4         3.07164       0.0020835         2.94651
      -3         3.16017      0.00213605         3.02083
      -2         3.20738      0.00216322         3.05925
      -1         3.25227      0.00219665         3.10653
       0         3.25651      0.00219947         3.11052
       1         3.25189      0.00219804          3.1085
       2         3.21467      0.00217335         3.07358
       3         3.14692      0.00212944         3.01148
       4         3.07479      0.00208167         2.94392
       5         2.98562      0.00202557         2.86459
       6          2.8697      0.00194738         2.75401
       7         2.73319      0.00185885          2.6288
       8         2.61767      0.00178808         2.52872
       9         2.48971      0.00170793         2.41538
      10         2.35948      0.00161942         2.29021
      11         2.22185      0.00152858         2.16173
      12         2.10959      0.00145733         2.06097
      13         1.98003      0.00137035         1.93797
      14         1.86333      0.00129336         1.82909
      15          1.7555      0.00122132          1.7272
      16         1.65018       0.0011476         1.62295
      17         1.54906      0.00108104         1.52882
      18         1.45965       0.0010215         1.44461
      19         1.37116     0.000959599         1.35708
      20         1.29419     0.000906618         1.28215
      21         1.21609     0.000854651         1.20866
      22         1.14172     0.000799391         1.13051
