   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502638         3.05965     0.00290544        2.90544           18142        1.92991        1929.91       -0.254931       0.149761        149.761
  accept        0.499937         3.05726     0.00293368        2.93368         18144.2        1.92257        1922.57        -1.38107       0.149217        149.217
  accept        0.500494         3.11054     0.00297696        2.97696         18155.9         1.9313         1931.3         1.47126        0.14972         149.72
  accept        0.499919         3.09173     0.00293774        2.93774         18141.2        1.91991        1919.91        0.136223       0.148259        148.259
       1        0.500101         3.07052     0.00291509        2.91509         18143.6        1.91873        1918.73        0.107911       0.148924        148.924
       2        0.499921         3.07653     0.00295265        2.95265         18142.3         1.9255         1925.5        -1.48167        0.14989         149.89
       3        0.499877         3.07091     0.00292766        2.92766         18137.5        1.92744        1927.44        0.257509        0.14933         149.33
       4        0.499867         3.05222     0.00292603        2.92603         18147.4        1.92155        1921.55        0.299781       0.149174        149.174
       5         0.50004         3.09508       0.002951          2.951         18110.8        1.93128        1931.28        -1.07074       0.148853        148.853
       6        0.500154         3.06659     0.00293861        2.93861         18158.9        1.92773        1927.73       -0.506558       0.149963        149.963
       7        0.499972         3.10193     0.00295444        2.95443         18140.8        1.92531        1925.31      -0.0857282       0.149667        149.667
       8        0.500118         3.06216     0.00291317        2.91317         18145.6        1.92803        1928.03        0.924106       0.148751        148.751
   total        0.500206         3.07525     0.00207527        2.93487         18140.9        1.36164        1925.65       -0.214118       0.105601        149.342

    mode      occupation             +/-         std dev
     -23         1.12201     0.000787346         1.11348
     -22         1.18492     0.000830595         1.17464
     -21         1.25417     0.000879054         1.24317
     -20         1.32506     0.000927144         1.31118
     -19         1.40347     0.000980607         1.38679
     -18         1.49387      0.00104191         1.47348
     -17         1.57893      0.00109988         1.55546
     -16          1.6725      0.00116249         1.64401
     -15         1.76445      0.00122276         1.72925
     -14         1.87173      0.00129653         1.83357
     -13           1.978      0.00136828         1.93504
     -12         2.09161      0.00144726         2.04674
     -11         2.20087      0.00151759          2.1462
     -10         2.31252      0.00158757         2.24516
      -9         2.42336      0.00165936          2.3467
      -8         2.54137      0.00173702         2.45652
      -7          2.6533      0.00181321         2.56426
      -6         2.74657      0.00187072         2.64559
      -5         2.83564      0.00192673         2.72481
      -4         2.91633      0.00197484         2.79285
      -3         2.97647      0.00201023          2.8429
      -2         3.03953      0.00205626         2.90799
      -1         3.06335      0.00207109         2.92896
       0         3.07525      0.00207527         2.93487
       1         3.06429       0.0020691         2.92615
       2         3.03746      0.00205281         2.90312
       3         2.99107      0.00202284         2.86073
       4         2.92582      0.00198766         2.81098
       5         2.84624      0.00193376         2.73475
       6         2.75584      0.00187387         2.65005
       7         2.65735       0.0018123         2.56298
       8         2.54006      0.00173424         2.45259
       9         2.43305      0.00166993         2.36164
      10         2.30821      0.00158403         2.24016
      11         2.20583      0.00151862         2.14765
      12         2.08456      0.00143905         2.03512
      13         1.97729      0.00136906         1.93614
      14         1.86863      0.00129443         1.83059
      15          1.7657      0.00122741         1.73582
      16         1.66848      0.00116024         1.64083
      17          1.5735      0.00109697         1.55134
      18         1.48744      0.00103637         1.46565
      19         1.40114     0.000980535         1.38669
      20         1.32804     0.000929159         1.31403
      21         1.25272     0.000877196         1.24054
      22         1.18426     0.000830238         1.17413
      23         1.11775     0.000785223         1.11047
