   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502362         2.92148     0.00279424        2.79423         19549.9        2.05268        2052.68       -0.469135       0.153537        153.537
    init        0.502409         2.92162       0.002792          2.792         19524.1        2.06394        2063.94       0.0648594       0.153883        153.883
  accept        0.499478         2.92398     0.00279176        2.79176         19536.2        2.05526        2055.26        0.583061       0.153927        153.927
  accept        0.500472          2.8943     0.00275443        2.75442         19559.1        2.04965        2049.65       -0.265072       0.154445        154.445
       1        0.500028         2.89617     0.00275675        2.75675         19543.9        2.05284        2052.84        0.322794       0.153929        153.929
       2        0.499576          2.8993     0.00278027        2.78026         19523.8        2.06112        2061.12       -0.804055       0.153441        153.441
       3        0.500583         2.92244     0.00277695        2.77695         19518.1        2.05741        2057.41        0.926108       0.153529        153.529
       4        0.499622          2.9092     0.00277102        2.77102         19547.6         2.0623         2062.3       0.0478918       0.154434        154.434
       5        0.499913         2.90574        0.00278           2.78         19528.1        2.06041        2060.41        0.144905       0.153599        153.599
       6        0.500368         2.90778     0.00279907        2.79907         19531.2        2.06108        2061.08         0.86545       0.153395        153.395
       7        0.499796         2.91355     0.00276851        2.76851           19534        2.06699        2066.99       -0.173355         0.1536          153.6
       8        0.499915         2.93907     0.00281823        2.81823         19547.1        2.05402        2054.01      -0.0293655       0.152965        152.965
   total         0.49974         2.91132     0.00196654        2.78111           19534        1.45592        2058.98        0.157544       0.108621        153.613

    mode      occupation             +/-         std dev
     -24         1.09447     0.000768501         1.08682
     -23         1.15934     0.000812029         1.14838
     -22         1.21911     0.000853513         1.20705
     -21         1.28796     0.000901191         1.27448
     -20         1.35562     0.000948357         1.34118
     -19         1.43231     0.000999529         1.41355
     -18         1.51037      0.00105294         1.48909
     -17         1.59341         0.00111         1.56977
     -16         1.67818       0.0011645         1.64685
     -15         1.77547      0.00123308         1.74384
     -14         1.86805      0.00129444         1.83062
     -13         1.95946      0.00135612         1.91785
     -12         2.05896      0.00141938          2.0073
     -11         2.16463      0.00148731         2.10337
     -10         2.26898       0.0015566         2.20137
      -9         2.36073       0.0016166         2.28622
      -8         2.45946      0.00167696         2.37157
      -7         2.55389      0.00174312         2.46514
      -6         2.64528      0.00180277          2.5495
      -5         2.71228      0.00183664          2.5974
      -4         2.79628       0.0018961         2.68149
      -3         2.83251      0.00191885         2.71366
      -2         2.86809      0.00194385         2.74902
      -1          2.8987      0.00195654         2.76697
       0         2.91132      0.00196654         2.78111
       1         2.89783      0.00195765         2.76853
       2          2.8719      0.00194542         2.75124
       3          2.8369      0.00192476         2.72202
       4         2.77992      0.00188249         2.66224
       5         2.70792      0.00183991         2.60203
       6         2.62161      0.00178535         2.52487
       7          2.5511      0.00174145         2.46278
       8         2.45287      0.00167388         2.36722
       9         2.37202      0.00162335         2.29576
      10         2.26635      0.00155443          2.1983
      11          2.1663      0.00148889         2.10561
      12         2.05876      0.00141966          2.0077
      13         1.96241       0.0013532         1.91371
      14         1.87271      0.00129483         1.83117
      15         1.76896       0.0012264         1.73438
      16         1.68225      0.00116705         1.65046
      17         1.59437      0.00110786         1.56676
      18         1.50987      0.00105187         1.48757
      19         1.43174     0.000998621         1.41226
      20         1.36117     0.000952134         1.34652
      21         1.28935     0.000900704         1.27379
      22         1.22043     0.000853912         1.20761
      23          1.1576     0.000812534          1.1491
      24         1.10079     0.000771933         1.09168
