   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501452         2.76173     0.00264878        2.64878         20976.7         2.2051         2205.1       -0.528804       0.158243        158.243
    init        0.501476          2.7507     0.00263826        2.63826         20991.8        2.20896        2208.96       -0.652669       0.157559        157.559
    init        0.501764         2.73784     0.00260765        2.60765         20977.1        2.19362        2193.62        0.239554       0.157581         157.58
       1         0.49976         2.77404     0.00267494        2.67494         20988.4        2.20616        2206.16        0.578724       0.158083        158.083
       2        0.500075         2.75587     0.00262297        2.62297         20993.6        2.19785        2197.85          0.6287       0.158034        158.034
       3        0.500189         2.73017      0.0026172        2.61719         21004.4        2.20227        2202.27       -0.266654       0.158566        158.566
       4        0.499992         2.72691     0.00261264        2.61264           21004        2.20049        2200.48       0.0510432       0.158526        158.526
       5        0.499785         2.77081     0.00266098        2.66098         20972.7         2.1972         2197.2       -0.339824       0.158018        158.018
       6        0.500181         2.77532     0.00264444        2.64444         20993.8         2.2043        2204.29       -0.145246       0.158545        158.545
       7        0.499891         2.75581     0.00264844        2.64844         20982.9        2.19983        2199.83       -0.820822       0.158048        158.048
       8        0.500009         2.76548     0.00264808        2.64808         20982.4        2.20354        2203.53         1.57373       0.158515        158.515
   total        0.499762         2.75674     0.00186762        2.64121         20990.6        1.55676        2201.59        0.218097       0.111894        158.241

    mode      occupation             +/-         std dev
     -25         1.07919      0.00075777         1.07165
     -24         1.13153     0.000792602         1.12091
     -23         1.18965     0.000833539          1.1788
     -22          1.2535     0.000875919         1.23874
     -21         1.31332     0.000918116         1.29841
     -20         1.38115     0.000963662         1.36282
     -19         1.45238       0.0010137         1.43358
     -18         1.52777      0.00106197         1.50185
     -17         1.59995      0.00111164          1.5721
     -16         1.68394       0.0011677         1.65138
     -15         1.77044      0.00122479         1.73211
     -14         1.85512      0.00128264         1.81393
     -13          1.9444      0.00134115         1.89668
     -12         2.02787      0.00139699         1.97564
     -11         2.11644      0.00145235         2.05393
     -10         2.19677      0.00150767         2.13216
      -9         2.29541      0.00157211          2.2233
      -8         2.37945      0.00162247         2.29451
      -7         2.45959      0.00167469         2.36836
      -6         2.53439      0.00172918         2.44542
      -5         2.59072      0.00176161          2.4913
      -4          2.6466      0.00180017         2.54583
      -3         2.69887      0.00182942         2.58719
      -2         2.73118      0.00185061         2.61716
      -1          2.7508      0.00186174         2.63289
       0         2.75674      0.00186762         2.64121
       1         2.75479      0.00186738         2.64087
       2          2.7375      0.00185369         2.62152
       3         2.69106      0.00182394         2.57944
       4         2.64532      0.00179564         2.53941
       5         2.59422      0.00176221         2.49215
       6         2.53086      0.00172472         2.43913
       7         2.45399      0.00167284         2.36576
       8         2.37826      0.00162205         2.29392
       9         2.30309      0.00157547         2.22806
      10         2.21681      0.00152252         2.15317
      11         2.11682      0.00145528         2.05808
      12          2.0314      0.00139987         1.97972
      13         1.93971      0.00133683         1.89056
      14          1.8566       0.0012843         1.81627
      15         1.76843      0.00122364         1.73049
      16         1.68298      0.00116465         1.64706
      17         1.60336      0.00111399         1.57542
      18         1.52436      0.00106154         1.50125
      19         1.45139      0.00101124          1.4301
      20         1.38272     0.000964667         1.36425
      21         1.31508     0.000918299         1.29867
      22         1.25101     0.000876387          1.2394
      23         1.19138     0.000834609         1.18032
      24         1.13442     0.000794569         1.12369
      25         1.07725     0.000757414         1.07114
