   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532306         6.42273     0.00594904        5.94904         9678.49       0.717439        717.438       -0.441828      0.0965786        96.5786
    init        0.532456         6.49898      0.0060188         6.0188         9684.11       0.719527        719.527        0.104379      0.0966935        96.6934
  accept        0.499979         6.39177     0.00597393        5.97393         9687.06       0.720217        720.216       -0.397106      0.0958157        95.8157
  accept        0.499781         6.47077     0.00602475        6.02475         9688.31       0.718216        718.216       -0.380331      0.0969476        96.9476
  accept        0.500268         6.39096     0.00595046        5.95046         9692.99       0.720814        720.813       -0.126338      0.0961133        96.1133
       1        0.500078         6.49604     0.00601131        6.01131         9688.06       0.724884        724.883        0.470813      0.0960793        96.0793
       2        0.500031         6.47872     0.00606254        6.06254         9690.89       0.722978        722.978      -0.0301985      0.0961501        96.1501
       3        0.499734         6.46791     0.00604837        6.04836         9683.46       0.726695        726.695        0.899737      0.0963322        96.3321
       4        0.500299         6.46776     0.00594238        5.94237         9693.92       0.720789        720.789      -0.0182037      0.0965062        96.5062
       5        0.499893         6.50587     0.00605811        6.05811         9673.85       0.720881        720.881       -0.295214      0.0966332        96.6331
       6         0.50015         6.44169     0.00606455        6.06454         9690.29       0.722375        722.374        0.469813      0.0968056        96.8055
       7        0.499671         6.43544     0.00592733        5.92733         9697.78       0.715882        715.882       -0.257996      0.0964032        96.4031
       8        0.499811         6.49861     0.00608092        6.08092         9682.58       0.722779        722.778       -0.707078      0.0961672        96.1672
   total        0.500262         6.47418        0.00426        6.02454         9687.58       0.510626        722.134       0.0596021      0.0681707        96.4078

    mode      occupation             +/-         std dev
     -13         1.46479      0.00102952         1.45596
     -12         1.65946      0.00116275         1.64438
     -11         1.89017      0.00132477         1.87351
     -10         2.16488      0.00151198         2.13826
      -9         2.47861      0.00172997         2.44654
      -8         2.85516      0.00197849         2.79801
      -7         3.31914      0.00229102         3.23999
      -6         3.79459      0.00259946         3.67618
      -5         4.36006      0.00295778         4.18293
      -4         4.94934      0.00333944         4.72269
      -3         5.51498      0.00367249         5.19369
      -2          6.0098      0.00397973         5.62819
      -1         6.30241      0.00415167         5.87135
       0         6.47418         0.00426         6.02454
       1         6.29043      0.00413588         5.84902
       2         6.01182      0.00397747         5.62499
       3         5.50341      0.00367358         5.19522
       4         4.95203      0.00332644          4.7043
       5          4.3595      0.00296242         4.18949
       6         3.82167      0.00261576         3.69924
       7         3.30127      0.00227682         3.21991
       8         2.86577      0.00198793         2.81136
       9         2.48394       0.0017298         2.44631
      10         2.16195      0.00150808         2.13274
      11         1.88755      0.00132612         1.87542
      12          1.6623      0.00116746         1.65104
      13          1.4608      0.00102954         1.45598
