   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532204         5.77561     0.00539207        5.39206         10391.6       0.802582        802.582       -0.697752       0.102235        102.235
    init         0.53187         5.77265     0.00541684        5.41684         10409.7       0.808574        808.573        0.322599       0.102499        102.499
    init         0.53274         5.74386     0.00538314        5.38314         10412.9       0.806902        806.901        0.297702       0.102667        102.667
  accept        0.499202         5.84794     0.00542039        5.42039         10404.9       0.810958        810.958       -0.950881       0.102223        102.223
  accept        0.500521         5.88028     0.00545213        5.45213         10414.7       0.807047        807.047        0.145626       0.102559        102.559
       1        0.500213         5.79292     0.00545229        5.45228         10414.8       0.803787        803.787       -0.153062       0.102243        102.243
       2        0.499758         5.81292     0.00542613        5.42613         10398.5       0.806405        806.405       -0.321945       0.102078        102.078
       3        0.499736         5.87042     0.00549659        5.49659           10408       0.809119        809.119        -1.02999        0.10262         102.62
       4        0.500481         5.79089     0.00540198        5.40197         10407.9         0.8096        809.599         1.01421       0.102122        102.122
       5        0.499957         5.78387     0.00537541        5.37541         10421.9       0.809881        809.881         0.12377       0.102599        102.599
       6        0.499816         5.81081     0.00542681        5.42681         10409.8       0.811057        811.057        0.599968       0.102356        102.356
       7        0.500283         5.80527     0.00540521         5.4052         10417.3       0.807106        807.106       -0.148928       0.102381        102.381
       8        0.499717         5.86708     0.00545529        5.45529         10402.3       0.811418        811.418       -0.700898        0.10195         101.95
   total        0.500061         5.81784     0.00384024        5.43091         10409.9        0.57174        808.563      -0.0865353      0.0723422        102.307

    mode      occupation             +/-         std dev
     -14         1.42435      0.00100094         1.41554
     -13         1.59745      0.00112361         1.58903
     -12         1.79801      0.00125957          1.7813
     -11         2.01733       0.0014085         1.99192
     -10          2.2917      0.00159803         2.25995
      -9         2.60105       0.0018078         2.55662
      -8         2.95644      0.00204607         2.89358
      -7         3.34627      0.00229872         3.25088
      -6         3.76204      0.00257219         3.63763
      -5         4.23903      0.00287446          4.0651
      -4         4.70215      0.00316449         4.47527
      -3         5.12437      0.00342263         4.84032
      -2         5.47952      0.00362965         5.13309
      -1         5.73497      0.00377511         5.33881
       0         5.81784      0.00384024         5.43091
       1         5.74265      0.00380051         5.37473
       2         5.48481      0.00365377         5.16721
       3         5.15855      0.00345469         4.88566
       4         4.71978      0.00318309         4.50156
       5         4.22432      0.00286994          4.0587
       6         3.76951      0.00257229         3.63777
       7          3.3458      0.00230168         3.25506
       8         2.95079       0.0020406         2.88584
       9         2.58936       0.0017984         2.54333
      10         2.29236      0.00159788         2.25974
      11         2.02109      0.00141283         1.99804
      12         1.79237      0.00125748         1.77835
      13         1.59316      0.00111795         1.58103
      14         1.42293     0.000999423          1.4134
