   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.522291         18.8519       0.015517         15.517         6277.32       0.287954        287.954        0.158693      0.0580045        58.0045
  accept        0.499891         18.3088      0.0150842        15.0842         6276.09       0.286376        286.376       0.0837718      0.0586426        58.6426
       1        0.499782         18.3468      0.0155201        15.5201         6271.13       0.292982        292.982        -1.04605      0.0574228        57.4228
       2         0.50029         17.9293      0.0149969        14.9969         6276.67        0.29218         292.18       -0.582238      0.0588038        58.8038
       3        0.499729         17.9143      0.0150856        15.0856         6279.26       0.289917        289.917       -0.801862      0.0586945        58.6945
       4        0.500019           18.07       0.015187        15.1869          6267.1       0.287282        287.281         1.59169      0.0582156        58.2156
       5        0.500134         17.6878      0.0152006        15.2006          6276.4       0.290348        290.348       -0.677109      0.0587436        58.7436
       6        0.499704         17.5922      0.0148847        14.8847         6278.97       0.286918        286.918         2.24513      0.0589408        58.9407
       7        0.500395         18.3068      0.0152994        15.2994         6271.97       0.289346        289.346        0.811984      0.0580331         58.033
       8         0.49965          18.614      0.0155572        15.5572          6278.9       0.290152        290.152         -1.7176      0.0576606        57.6606
   total        0.499966          18.057      0.0107628        15.2209         6275.01       0.205002        289.917      -0.0239663      0.0412523        58.3396

    mode      occupation             +/-         std dev
      -7         1.54073      0.00109451         1.54787
      -6         2.03043      0.00144824         2.04812
      -5         2.77255      0.00198228         2.80336
      -4         3.94495      0.00281316          3.9784
      -3         5.96946      0.00422035         5.96848
      -2         9.65963      0.00654771         9.25986
      -1         15.0657      0.00949172         13.4233
       0          18.057       0.0107628         15.2209
       1         15.0689      0.00944866         13.3624
       2          9.6008      0.00653169          9.2372
       3         5.99141      0.00420507         5.94687
       4         3.96362      0.00279717          3.9558
       5         2.76877      0.00196366         2.77703
       6         2.02607      0.00144235         2.03979
       7         1.54002      0.00109194         1.54423
