   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.551926         2.81696       0.010568        2.70538         23826.3        8.53108        2183.94        -1.70019       0.616065        157.712
       1        0.498276          2.9217       0.010778        2.75914         23803.9        8.49467        2174.62        -4.29202       0.607888        155.618
       2        0.501709         2.87364      0.0106411        2.72411           23791        8.64491        2213.08        -5.91299       0.595599        152.472
       3         0.49826         2.98863      0.0112726        2.88576         23711.1        8.39392        2148.83        0.727975       0.606986        155.387
       4        0.500641         2.85699      0.0107371        2.74867         23829.7        8.29949        2124.65        -5.24764       0.597133        152.865
       5        0.499115         2.79523      0.0102593        2.62636         23811.6        8.53624        2185.26        -1.21868       0.610698        156.338
       6         0.50058         2.97375      0.0117572        3.00982         23717.6        8.63363        2210.19         2.18519       0.604976        154.873
       7        0.500504          3.0267      0.0113186        2.89754         23759.6        8.40013        2150.42        0.226329        0.60657        155.281
       8        0.499985         2.92935      0.0110937        2.83996         23817.1        8.60915        2203.93        0.687004       0.599696        153.521
   total        0.504876         2.91029     0.00729607        2.80168         23786.4        5.67534        2179.32        -1.59153       0.403465         154.93
