   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.531766          7.2723      0.0066751         6.6751         9010.34       0.639747        639.747       -0.424141      0.0902526        90.2525
    init        0.531937         7.11116     0.00658563        6.58563          9016.4       0.636484        636.484        0.218276      0.0902635        90.2634
  accept        0.500167         7.14714     0.00663878        6.63877         9018.04       0.637553        637.553       0.0335265      0.0907697        90.7697
       1        0.499658         7.15355     0.00652323        6.52323         9020.22       0.640084        640.084        0.167856      0.0909372        90.9371
       2        0.500455         7.14959     0.00660472        6.60471         9017.84        0.63861         638.61        0.422948      0.0906675        90.6674
       3        0.499701         7.21669     0.00669116        6.69116         9013.59       0.639074        639.074        0.709989      0.0907099        90.7098
       4         0.50022         7.18189     0.00665997        6.65996         9020.13        0.64413        644.129         0.40331      0.0905127        90.5126
       5        0.499828         7.23853     0.00669563        6.69563         9012.77       0.637973        637.973         0.14052      0.0907427        90.7426
       6        0.499849          7.2222     0.00666262        6.66262         9008.91       0.636681        636.681        0.574895      0.0906126        90.6125
       7        0.500315         7.20156     0.00665921        6.65921         9017.76        0.63964         639.64       -0.742171      0.0901613        90.1613
       8        0.499894         7.22603      0.0066151         6.6151         9016.99       0.644244        644.243        0.662458      0.0903225        90.3225
   total        0.499682         7.19854      0.0046951        6.63987          9016.1       0.452584         640.05         0.29696      0.0640529        90.5844

    mode      occupation             +/-         std dev
     -12          1.4982      0.00105611         1.49357
     -11         1.72871      0.00121409         1.71698
     -10         2.00126      0.00140583         1.98815
      -9         2.32977      0.00163148         2.30726
      -8         2.73919      0.00191388         2.70663
      -7         3.19963       0.0022182           3.137
      -6         3.78248      0.00261101         3.69252
      -5         4.45021      0.00302833          4.2827
      -4         5.14984      0.00348503         4.92858
      -3         5.91839      0.00394795         5.58324
      -2         6.49548      0.00429636         6.07598
      -1         7.08516      0.00464033         6.56241
       0         7.19854       0.0046951         6.63987
       1           7.029       0.0046027          6.5092
       2         6.55774      0.00432523          6.1168
       3         5.91569      0.00395616         5.59486
       4         5.16546      0.00349487         4.94249
       5         4.45762      0.00304228         4.30243
       6         3.79716      0.00261894         3.70374
       7          3.2087      0.00222601         3.14805
       8         2.72487      0.00190051         2.68772
       9         2.33201      0.00163432         2.31128
      10         2.00073      0.00140294         1.98405
      11         1.73034      0.00121545         1.71891
      12         1.50381      0.00106008         1.49917
