   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532213         6.54927     0.00606106        6.06105          9678.8       0.724362        724.362        -0.28842      0.0961307        96.1306
    init        0.532143         6.56408     0.00607298        6.07298         9685.87       0.723288        723.288     -0.00284959        0.09623          96.23
  accept        0.500122          6.3676     0.00598497        5.98497         9684.98       0.722035        722.034        -0.80812      0.0963814        96.3813
  accept        0.500052         6.41509     0.00599506        5.99506         9691.43       0.722835        722.834        0.723481       0.096527        96.5269
  accept        0.500106           6.463     0.00597481        5.97481         9684.31       0.717222        717.221        0.341295      0.0960106        96.0105
  accept        0.500068         6.40825     0.00594643        5.94642         9687.27       0.723304        723.303        0.436032      0.0961261         96.126
  accept        0.499944         6.50265     0.00604222        6.04222          9688.6       0.722862        722.862       -0.646803      0.0966994        96.6994
  accept         0.49969         6.51527     0.00608644        6.08644         9685.23        0.72277        722.769        0.278269      0.0961745        96.1745
       1        0.500172         6.38007     0.00588489        5.88488         9683.74       0.717559        717.559       -0.185947      0.0964308        96.4307
       2        0.500329         6.36953     0.00591824        5.91824         9695.16       0.726145        726.144       -0.619388       0.096678        96.6779
       3        0.499734         6.40714     0.00595354        5.95353         9679.59       0.723859        723.859       -0.310788      0.0961476        96.1476
       4         0.49975         6.48785     0.00600538        6.00537         9676.94       0.719731        719.731        0.446747      0.0964601          96.46
       5        0.500256         6.49111     0.00604018        6.04018         9687.39       0.719122        719.121        0.533585      0.0959702        95.9702
       6        0.500054          6.3664     0.00593842        5.93842         9689.74       0.721703        721.703        0.270246      0.0966114        96.6114
       7        0.500257         6.47707     0.00604631        6.04631         9681.93         0.7237          723.7       -0.693655      0.0961285        96.1285
       8        0.499613         6.44866     0.00600606        6.00606         9690.29       0.723205        723.204       -0.313035      0.0965272        96.5271
   total        0.500392         6.42904      0.0042251         5.9752         9685.62       0.510479        721.927       -0.122906      0.0681519        96.3814

    mode      occupation             +/-         std dev
     -13         1.46344      0.00102916         1.45545
     -12         1.65978      0.00116429         1.64655
     -11         1.88991      0.00132418         1.87267
     -10         2.16729      0.00151738          2.1459
      -9         2.48212      0.00172872         2.44478
      -8         2.86157      0.00198827         2.81183
      -7         3.30222      0.00227837          3.2221
      -6         3.79612      0.00259741         3.67329
      -5         4.36297      0.00296661         4.19541
      -4         4.93705      0.00333457          4.7158
      -3         5.52473      0.00370056         5.23337
      -2         6.00976      0.00397938         5.62769
      -1         6.34492      0.00416742         5.89363
       0         6.42904       0.0042251          5.9752
       1         6.32348      0.00415918         5.88197
       2         6.01374      0.00398054         5.62934
       3         5.50581      0.00368233          5.2076
       4         4.94854      0.00333524         4.71674
       5         4.35788      0.00296602         4.19459
       6         3.79085      0.00260495         3.68395
       7         3.31918      0.00229292         3.24268
       8         2.86565      0.00198524         2.80755
       9         2.48154       0.0017286          2.4446
      10         2.15009      0.00150786         2.13243
      11         1.89434      0.00132892         1.87937
      12         1.65564      0.00116219         1.64359
      13         1.46231      0.00102686          1.4522
