   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.531715         4.94139     0.00467305        4.67305         12013.1       0.996912        996.912       -0.371123       0.113705        113.705
    init        0.531539         4.87085     0.00458486        4.58486         12018.9        1.00579        1005.79        -0.43275       0.114179        114.179
    init         0.53179         4.77866     0.00446424        4.46424         12022.6       0.999655        999.654        -0.25446       0.113726        113.726
  accept        0.499533         4.86059      0.0045757         4.5757         12009.6       0.996174        996.173        -0.06923        0.11327         113.27
       1         0.50035         4.81884     0.00455049        4.55049         12019.8       0.998209        998.209       -0.532647       0.113951        113.951
       2        0.499779         4.89105     0.00462496        4.62495         12012.6       0.998371         998.37        0.781554       0.113301        113.301
       3        0.500029         4.85787     0.00454828        4.54828         12010.3        1.00329        1003.29       -0.648077       0.113205        113.205
       4        0.500342         4.84877     0.00457107        4.57107         12017.3       0.997786        997.786         1.09598       0.113452        113.452
       5        0.499655         4.84794      0.0045723         4.5723         12012.9        1.00703        1007.03       -0.380658       0.113286        113.286
       6         0.50026         4.85658     0.00457506        4.57506         12018.3        1.00291        1002.91        0.206078       0.113796        113.796
       7        0.499735         4.84452     0.00455362        4.55362         12012.2       0.997818        997.818         1.14895       0.113319        113.319
       8        0.499775         4.83663     0.00455326        4.55326         12021.8        1.00582        1005.82       -0.334746       0.113442        113.441
   total        0.499864         4.85097     0.00323155         4.5701         12015.5       0.707995        1001.26         0.16078      0.0802147        113.441

    mode      occupation             +/-         std dev
     -16         1.35043      0.00094972         1.34311
     -15         1.48568      0.00104279         1.47472
     -14         1.63166      0.00114093         1.61352
     -13         1.80397      0.00126028         1.78231
     -12         1.98616       0.0013864         1.96066
     -11         2.20305      0.00153203         2.16661
     -10         2.43387      0.00168538         2.38348
      -9         2.70383      0.00186155         2.63262
      -8         2.98227      0.00204497         2.89202
      -7         3.28844      0.00224428         3.17389
      -6         3.60588      0.00245701         3.47473
      -5         3.89495      0.00263752         3.73002
      -4         4.20995      0.00282747         3.99865
      -3         4.48017      0.00299797         4.23977
      -2         4.68408        0.003122         4.41518
      -1         4.81042      0.00319436         4.51751
       0         4.85097      0.00323155          4.5701
       1         4.81823      0.00320105         4.52697
       2          4.6797      0.00312304         4.41664
       3         4.48497      0.00300314         4.24708
       4         4.21497      0.00283727          4.0125
       5         3.91987      0.00265061         3.74853
       6          3.6061      0.00244588           3.459
       7         3.28735       0.0022453         3.17533
       8         2.98719      0.00205405         2.90487
       9         2.69216      0.00185812         2.62778
      10         2.44671      0.00169256         2.39364
      11         2.19943      0.00152876         2.16199
      12         1.98748       0.0013858         1.95982
      13          1.8068      0.00125959         1.78133
      14         1.62841      0.00114155          1.6144
      15         1.48655       0.0010438         1.47616
      16         1.34831     0.000946664         1.33878
