   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.527629         11.1589     0.00991533        9.91532         7253.57       0.419611        419.611       -0.450385      0.0715627        71.5627
    init        0.527699         11.1367      0.0100582        10.0582         7254.49       0.419899        419.899         1.18948      0.0717401        71.7401
    init        0.527519         11.2272      0.0100645        10.0645         7258.95       0.424557        424.557       -0.165531      0.0719533        71.9533
  accept         0.50019         11.1396      0.0100239        10.0239         7256.04        0.41759         417.59       -0.505184       0.071533         71.533
  accept        0.500004         11.3344      0.0100553        10.0553         7260.62       0.419906        419.906        -1.71657      0.0718026        71.8026
  accept        0.499723         11.3079      0.0101459        10.1459         7252.82       0.422608        422.608        0.120334      0.0713531         71.353
       1        0.500287         11.6482      0.0102282        10.2281         7251.94       0.418933        418.933        -0.36958      0.0713071        71.3071
       2        0.500156         11.2305      0.0100257        10.0257         7261.32       0.418203        418.203        0.475523      0.0720251        72.0251
       3        0.499768         11.3726      0.0100201          10.02         7250.56       0.419398        419.398        -1.04442      0.0712839        71.2838
       4        0.500174         11.2452        0.01014          10.14         7262.73       0.420887        420.887        0.315328      0.0718963        71.8962
       5        0.499898         11.2684      0.0100029        10.0029         7255.59       0.417523        417.523       -0.348077      0.0718701        71.8701
       6        0.500169         11.3215      0.0100668        10.0668         7250.82       0.419507        419.507       -0.137421       0.071852         71.852
       7        0.499676         11.3959      0.0101781        10.1781         7257.62        0.42064         420.64       -0.321623       0.071112         71.112
       8        0.500062         11.4618      0.0102489        10.2489         7253.39       0.419126        419.125      -0.0642372      0.0718126        71.8125
   total        0.499702         11.3682     0.00715301        10.1159         7255.52       0.296512        419.331       -0.185377      0.0506558        71.6381

    mode      occupation             +/-         std dev
      -9         1.58629      0.00112118         1.58558
      -8         1.95234      0.00137647         1.94662
      -7         2.42576      0.00170787          2.4153
      -6          3.0686      0.00214995         3.04048
      -5         3.97619      0.00276377         3.90856
      -4         5.24192      0.00361621          5.1141
      -3         6.84716      0.00462988         6.54763
      -2         8.78378       0.0057934          8.1931
      -1          10.452      0.00672207         9.50644
       0         11.3682      0.00715301         10.1159
       1         10.4056      0.00667742         9.44329
       2         8.83263      0.00583426         8.25089
       3         6.86975      0.00466248         6.59374
       4         5.19176      0.00358721         5.07307
       5         3.98301      0.00277303         3.92166
       6         3.06783      0.00215415         3.04643
       7         2.42151      0.00169651         2.39923
       8         1.93947      0.00136591         1.93169
       9         1.58623      0.00111999         1.58391
