   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.479858         48.4959       0.076061        19.4715         5773.05        1.01835        260.696        -0.18808       0.128567        32.9129
       1        0.499405         35.7611      0.0879193        22.5072         5779.37        0.89382        228.816         4.69212       0.190301        48.7168
       2        0.500458         48.2628      0.0754966         19.327          5759.3       0.861296         220.49         5.70434       0.100723        25.7848
       3        0.499146         44.3939      0.0764078        19.5602         5742.41       0.825524        211.333         4.96276       0.107648        27.5578
       4        0.500931         40.3378      0.0914398        23.4084         5779.27       0.907479        232.313        -10.3742       0.125134        32.0341
       5        0.499847         31.1221      0.0802457        20.5427         5799.19       0.889126        227.615        -4.82799       0.202933        51.9505
       6        0.500107         36.0691      0.0916429        23.4604         5772.23       0.868392        222.307         9.24296       0.184693         47.281
       7        0.499481         32.3756      0.0830638        21.2642         5761.17         0.8454        216.421        -6.12189       0.159021        40.7089
       8         0.50087         32.4425      0.0909864        23.2923         5798.49       0.921989        236.027        -2.01043       0.167665         42.922
   total        0.498183         38.8066      0.0584329        22.4381         5773.86       0.597669        229.504        0.122196       0.105176        40.3875
