   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.502384         4.65408     0.00441348        4.41348         14828.7        1.32372        1323.72      -0.0826117        0.11923         119.23
       1        0.499986         4.73026     0.00449779        4.49778         14826.9        1.32502        1325.02       -0.119307       0.120431        120.431
       2        0.500029         4.74668     0.00446354        4.46354         14834.4        1.32774        1327.74        0.924424       0.119361        119.361
       3        0.499921         4.71022      0.0044383        4.43829         14802.8          1.322           1322        0.147219       0.120031        120.031
       4        0.500006         4.65278     0.00439812        4.39811         14828.8        1.33274        1332.74       -0.900024       0.120554        120.554
       5        0.500021         4.72562     0.00445734        4.45734         14826.9        1.32723        1327.23        0.537488       0.119328        119.328
       6        0.499929         4.71049     0.00443868        4.43868         14820.7        1.32382        1323.82        -1.46838       0.119351        119.351
       7        0.500081         4.68721     0.00449261        4.49261         14810.6        1.32304        1323.04        0.602616       0.120005        120.005
       8        0.499919          4.6511     0.00440867        4.40867         14846.7        1.32749        1327.49        0.220715       0.120395        120.395
   total        0.499796         4.69598     0.00296348        4.44522         14825.3       0.884084        1326.13     -0.00622001      0.0799071        119.861
